#2023/06/08 14:57:11
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
5.03820,-0.04252,0.06055,0.00000,0.03270,0.97832,-0.18044,2023,6,8,14,57,11,131
5.03830,0.09747,-0.02695,0.00000,0.03148,0.97893,-0.17934,2023,6,8,14,57,11,142
5.03840,-0.11253,0.00805,0.00000,0.03318,0.97685,-0.18019,2023,6,8,14,57,11,153
5.03850,0.13247,-0.07945,0.00000,0.03270,0.97661,-0.18007,2023,6,8,14,57,11,164
5.03860,0.06248,0.04305,0.00000,0.03453,0.97576,-0.18056,2023,6,8,14,57,11,175
5.03870,0.02747,0.04305,0.00000,0.03318,0.97881,-0.17788,2023,6,8,14,57,11,186
5.03880,-0.06002,-0.06195,0.00000,0.03221,0.97771,-0.17971,2023,6,8,14,57,11,197
5.03890,-0.06002,-0.11445,0.00000,0.03355,0.97820,-0.17812,2023,6,8,14,57,11,208
5.03900,-0.00753,-0.04445,0.00000,0.03331,0.97551,-0.17885,2023,6,8,14,57,11,219
5.03910,0.06248,-0.00945,0.00000,0.03404,0.97734,-0.17861,2023,6,8,14,57,11,231
5.03920,0.21997,0.00805,0.00000,0.03343,0.97771,-0.17824,2023,6,8,14,57,11,242
5.03930,0.14997,-0.35945,0.00000,0.03270,0.97954,-0.17897,2023,6,8,14,57,11,253
5.03940,-0.07753,0.00805,0.00000,0.03123,0.97734,-0.18019,2023,6,8,14,57,11,264
5.03950,-0.00753,0.06055,0.00000,0.03184,0.97649,-0.17983,2023,6,8,14,57,11,275
5.03960,0.21997,-0.07945,0.00000,0.03172,0.98039,-0.17861,2023,6,8,14,57,11,286
5.03970,0.04497,-0.13195,0.00000,0.03294,0.97576,-0.17885,2023,6,8,14,57,11,297
5.03980,0.13247,0.04305,0.00000,0.03379,0.97929,-0.17946,2023,6,8,14,57,12,8
5.03990,-0.06002,-0.11445,0.00000,0.03465,0.97734,-0.17617,2023,6,8,14,57,12,19
5.04000,0.16748,-0.13195,0.00000,0.03257,0.97759,-0.17812,2023,6,8,14,57,12,31
5.04010,-0.20003,0.18305,0.00000,0.03270,0.97978,-0.17763,2023,6,8,14,57,12,42
5.04020,-0.09503,0.04305,0.00000,0.03416,0.97795,-0.17946,2023,6,8,14,57,12,53
5.04030,0.14997,-0.06195,0.00000,0.03294,0.97563,-0.17727,2023,6,8,14,57,12,64
5.04040,0.00997,-0.20195,0.00000,0.03270,0.97710,-0.17763,2023,6,8,14,57,12,75
5.04050,0.00997,-0.07945,0.00000,0.03343,0.97954,-0.17897,2023,6,8,14,57,12,86
5.04060,0.16748,-0.13195,0.00000,0.03514,0.97795,-0.17836,2023,6,8,14,57,12,97
5.04070,0.02747,-0.00945,0.00000,0.03196,0.97868,-0.17556,2023,6,8,14,57,12,108
5.04080,0.20247,-0.16695,0.00000,0.03282,0.97759,-0.17714,2023,6,8,14,57,12,119
5.04090,0.11497,-0.11445,0.00000,0.03196,0.97673,-0.17580,2023,6,8,14,57,12,131
5.04100,0.04497,-0.04445,0.00000,0.03184,0.97868,-0.17531,2023,6,8,14,57,12,142
5.04110,0.13247,-0.02695,0.00000,0.03355,0.97783,-0.17751,2023,6,8,14,57,12,153
5.04120,-0.06002,-0.06195,0.00000,0.03050,0.97881,-0.17897,2023,6,8,14,57,12,164
5.04130,0.11497,0.16555,0.00000,0.03318,0.97576,-0.17763,2023,6,8,14,57,12,175
5.04140,-0.06002,0.09555,0.00000,0.03318,0.97661,-0.17958,2023,6,8,14,57,12,186
5.04150,-0.11253,0.02555,0.00000,0.03001,0.97722,-0.17800,2023,6,8,14,57,12,197
5.04160,0.06248,-0.02695,0.00000,0.03257,0.97820,-0.17934,2023,6,8,14,57,12,208
5.04170,0.00997,-0.06195,0.00000,0.03355,0.97832,-0.18056,2023,6,8,14,57,12,219
5.04180,-0.02503,0.20055,0.00000,0.03379,0.97746,-0.17690,2023,6,8,14,57,12,231
5.04190,-0.16502,-0.00945,0.00000,0.03355,0.97807,-0.17873,2023,6,8,14,57,12,242
5.04200,0.13247,-0.09695,0.00000,0.03245,0.97746,-0.17788,2023,6,8,14,57,12,253
5.04210,-0.04252,0.04305,0.00000,0.03416,0.97783,-0.18019,2023,6,8,14,57,12,264
5.04220,-0.09503,-0.09695,0.00000,0.03453,0.97856,-0.17849,2023,6,8,14,57,12,275
5.04230,0.16748,-0.09695,0.00000,0.03477,0.97978,-0.17849,2023,6,8,14,57,12,286
5.04240,-0.07753,-0.11445,0.00000,0.03379,0.97820,-0.17629,2023,6,8,14,57,12,297
5.04250,-0.04252,0.18305,0.00000,0.03392,0.97624,-0.17824,2023,6,8,14,57,12,308
5.04260,0.25497,-0.06195,0.00000,0.03392,0.97673,-0.17763,2023,6,8,14,57,12,319
5.04270,-0.11253,0.14805,0.00000,0.03270,0.97856,-0.17580,2023,6,8,14,57,12,331
5.04280,-0.14752,0.16555,0.00000,0.03294,0.97844,-0.17702,2023,6,8,14,57,12,342
5.04290,0.06248,0.06055,0.00000,0.03160,0.97771,-0.18056,2023,6,8,14,57,12,353
5.04300,0.18498,-0.02695,0.00000,0.03331,0.97856,-0.17702,2023,6,8,14,57,12,364
5.04310,-0.11253,-0.16695,0.00000,0.03184,0.97893,-0.17702,2023,6,8,14,57,12,375
5.04320,-0.06002,-0.21945,0.00000,0.03074,0.97698,-0.17812,2023,6,8,14,57,12,386
5.04330,-0.04252,-0.09695,0.00000,0.03477,0.97917,-0.17824,2023,6,8,14,57,12,397
5.04340,-0.14752,0.04305,0.00000,0.03404,0.98088,-0.17702,2023,6,8,14,57,12,408
5.04350,0.04497,0.00805,0.00000,0.03184,0.97624,-0.17690,2023,6,8,14,57,12,419
5.04360,-0.04252,-0.02695,0.00000,0.03087,0.97844,-0.17897,2023,6,8,14,57,12,431
5.04370,0.07997,0.21805,0.00000,0.03270,0.97722,-0.17641,2023,6,8,14,57,12,442
5.04380,-0.06002,-0.09695,0.00000,0.03623,0.97624,-0.17812,2023,6,8,14,57,12,453
5.04390,-0.13003,0.04305,0.00000,0.03367,0.97710,-0.17897,2023,6,8,14,57,12,464
5.04400,0.11497,0.07805,0.00000,0.03367,0.97734,-0.17763,2023,6,8,14,57,12,475
5.04410,-0.04252,0.13055,0.00000,0.03245,0.97807,-0.17714,2023,6,8,14,57,12,486
5.04420,-0.04252,-0.23695,0.00000,0.03343,0.97990,-0.17836,2023,6,8,14,57,12,497
5.04430,-0.02503,-0.02695,0.00000,0.03196,0.97685,-0.17897,2023,6,8,14,57,12,508
5.04440,-0.07753,0.04305,0.00000,0.02940,0.97649,-0.17788,2023,6,8,14,57,12,519
5.04450,-0.02503,0.04305,0.00000,0.03184,0.97746,-0.17775,2023,6,8,14,57,12,531
5.04460,0.02747,-0.02695,0.00000,0.03416,0.97807,-0.17958,2023,6,8,14,57,12,542
