#2023/06/08 14:16:22
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
2.16190,-0.21192,-0.07525,0.00000,0.02403,0.97942,-0.17434,2023,6,8,14,16,23,65
2.16200,0.36558,-0.00525,0.00000,0.02440,0.97685,-0.17385,2023,6,8,14,16,23,76
2.16210,0.33058,0.08225,0.00000,0.02330,0.97624,-0.17592,2023,6,8,14,16,23,87
2.16220,-0.05442,-0.19775,0.00000,0.02416,0.97844,-0.17788,2023,6,8,14,16,23,98
2.16230,-0.43942,0.09975,0.00000,0.02416,0.97637,-0.17653,2023,6,8,14,16,23,109
2.16240,-0.38692,0.16975,0.00000,0.02550,0.97563,-0.17483,2023,6,8,14,16,23,120
2.16250,0.03308,0.08225,0.00000,0.02367,0.97661,-0.17348,2023,6,8,14,16,23,131
2.16260,0.47058,0.13475,0.00000,0.02501,0.97893,-0.17434,2023,6,8,14,16,23,142
2.16270,0.36558,0.22225,0.00000,0.02074,0.97600,-0.17788,2023,6,8,14,16,23,153
2.16280,0.01558,-0.00525,0.00000,0.02501,0.97734,-0.17739,2023,6,8,14,16,23,165
2.16290,-0.49192,-0.07525,0.00000,0.02403,0.97600,-0.17641,2023,6,8,14,16,23,176
2.16300,-0.21192,0.09975,0.00000,0.02416,0.97856,-0.17409,2023,6,8,14,16,23,187
2.16310,0.05058,0.11725,0.00000,0.02391,0.97893,-0.17495,2023,6,8,14,16,23,198
2.16320,0.55808,-0.19775,0.00000,0.02208,0.97563,-0.17812,2023,6,8,14,16,23,209
2.16330,-0.10692,-0.11025,0.00000,0.02440,0.97685,-0.17763,2023,6,8,14,16,23,220
2.16340,-0.31692,-0.04025,0.00000,0.02379,0.97795,-0.17568,2023,6,8,14,16,23,231
2.16350,-0.21192,0.04725,0.00000,0.02306,0.97795,-0.17617,2023,6,8,14,16,23,242
2.16360,0.19058,0.09975,0.00000,0.02294,0.98039,-0.17690,2023,6,8,14,16,23,253
2.16370,0.27808,0.16975,0.00000,0.02330,0.97685,-0.17763,2023,6,8,14,16,23,265
2.16380,0.24308,-0.16275,0.00000,0.02318,0.97844,-0.17690,2023,6,8,14,16,24,6
2.16390,-0.24692,-0.07525,0.00000,0.02599,0.97637,-0.17812,2023,6,8,14,16,24,17
2.16400,-0.43942,-0.09275,0.00000,0.02403,0.97441,-0.17556,2023,6,8,14,16,24,28
2.16410,-0.14192,-0.05775,0.00000,0.02586,0.97917,-0.17385,2023,6,8,14,16,24,39
2.16420,0.06808,0.06475,0.00000,0.02574,0.97978,-0.17678,2023,6,8,14,16,24,50
2.16430,0.45308,-0.05775,0.00000,0.02416,0.97673,-0.17751,2023,6,8,14,16,24,61
2.16440,0.22558,-0.09275,0.00000,0.02574,0.97698,-0.17507,2023,6,8,14,16,24,72
2.16450,-0.31692,-0.16275,0.00000,0.02184,0.97844,-0.17629,2023,6,8,14,16,24,83
2.16460,-0.29942,-0.11025,0.00000,0.02440,0.97844,-0.17605,2023,6,8,14,16,24,95
2.16470,0.08558,-0.09275,0.00000,0.02379,0.97844,-0.17336,2023,6,8,14,16,24,106
2.16480,0.22558,-0.04025,0.00000,0.02501,0.97685,-0.17361,2023,6,8,14,16,24,117
2.16490,0.24308,0.08225,0.00000,0.02464,0.97978,-0.17666,2023,6,8,14,16,24,128
2.16500,-0.03692,0.02975,0.00000,0.02355,0.97661,-0.17836,2023,6,8,14,16,24,139
2.16510,-0.19442,-0.18025,0.00000,0.02342,0.98137,-0.17434,2023,6,8,14,16,24,150
2.16520,-0.14192,-0.14525,0.00000,0.02330,0.97881,-0.17495,2023,6,8,14,16,24,161
2.16530,0.13808,-0.18025,0.00000,0.02269,0.97881,-0.17556,2023,6,8,14,16,24,172
2.16540,0.34808,-0.14525,0.00000,0.02599,0.97990,-0.17653,2023,6,8,14,16,24,183
2.16550,0.26058,0.04725,0.00000,0.02440,0.97868,-0.17483,2023,6,8,14,16,24,195
2.16560,0.24308,-0.19775,0.00000,0.02257,0.97966,-0.17629,2023,6,8,14,16,24,206
2.16570,-0.05442,-0.18025,0.00000,0.02281,0.97722,-0.17629,2023,6,8,14,16,24,217
2.16580,-0.26442,0.01225,0.00000,0.02318,0.97673,-0.17641,2023,6,8,14,16,24,228
2.16590,-0.08942,0.13475,0.00000,0.02647,0.98003,-0.17653,2023,6,8,14,16,24,239
2.16600,0.31308,0.01225,0.00000,0.02074,0.97990,-0.17629,2023,6,8,14,16,24,250
2.16610,-0.03692,-0.25025,0.00000,0.02342,0.97881,-0.17592,2023,6,8,14,16,24,261
2.16620,-0.19442,-0.00525,0.00000,0.02342,0.97868,-0.17641,2023,6,8,14,16,24,272
2.16630,-0.19442,-0.02275,0.00000,0.02367,0.98039,-0.17531,2023,6,8,14,16,24,283
2.16640,0.13808,0.01225,0.00000,0.02367,0.97844,-0.17434,2023,6,8,14,16,24,295
2.16650,0.31308,-0.14525,0.00000,0.02525,0.97515,-0.17556,2023,6,8,14,16,24,306
2.16660,0.19058,-0.11025,0.00000,0.02440,0.97807,-0.17678,2023,6,8,14,16,24,317
2.16670,0.13808,-0.02275,0.00000,0.02513,0.97929,-0.17446,2023,6,8,14,16,24,328
2.16680,-0.28192,-0.02275,0.00000,0.02330,0.97600,-0.17617,2023,6,8,14,16,24,339
2.16690,-0.14192,-0.07525,0.00000,0.02196,0.97893,-0.17324,2023,6,8,14,16,24,350
2.16700,0.03308,0.16975,0.00000,0.02403,0.97698,-0.17544,2023,6,8,14,16,24,361
2.16710,0.13808,-0.16275,0.00000,0.02196,0.97637,-0.17605,2023,6,8,14,16,24,372
2.16720,0.01558,0.06475,0.00000,0.02269,0.97649,-0.17568,2023,6,8,14,16,24,383
2.16730,-0.24692,-0.11025,0.00000,0.02172,0.97868,-0.17531,2023,6,8,14,16,24,395
2.16740,-0.10692,0.06475,0.00000,0.02416,0.97673,-0.17580,2023,6,8,14,16,24,406
2.16750,-0.10692,0.04725,0.00000,0.02635,0.97905,-0.17470,2023,6,8,14,16,24,417
2.16760,0.38308,-0.04025,0.00000,0.02367,0.97637,-0.17336,2023,6,8,14,16,24,428
2.16770,0.15558,-0.11025,0.00000,0.02318,0.97844,-0.17458,2023,6,8,14,16,24,439
2.16780,-0.10692,0.01225,0.00000,0.02611,0.97771,-0.17629,2023,6,8,14,16,24,450
2.16790,-0.24692,0.02975,0.00000,0.02428,0.97844,-0.17483,2023,6,8,14,16,24,461
2.16800,-0.00192,-0.28525,0.00000,0.02379,0.97990,-0.17653,2023,6,8,14,16,24,472
2.16810,0.29558,0.16975,0.00000,0.02245,0.97759,-0.17568,2023,6,8,14,16,24,483
2.16820,-0.14192,0.06475,0.00000,0.02538,0.97734,-0.17446,2023,6,8,14,16,24,495
2.16830,-0.15942,-0.07525,0.00000,0.02220,0.97868,-0.17653,2023,6,8,14,16,24,506
2.16840,-0.15942,-0.07525,0.00000,0.02355,0.97966,-0.17556,2023,6,8,14,16,24,517
2.16850,0.01558,-0.25025,0.00000,0.02428,0.97759,-0.17544,2023,6,8,14,16,24,528
2.16860,0.24308,-0.09275,0.00000,0.02464,0.97795,-0.17470,2023,6,8,14,16,24,539
2.16870,0.12058,-0.16275,0.00000,0.02440,0.97844,-0.17617,2023,6,8,14,16,24,550
2.16880,-0.05442,-0.14525,0.00000,0.02355,0.97759,-0.17446,2023,6,8,14,16,24,561
2.16890,0.17308,-0.05775,0.00000,0.02355,0.97832,-0.17495,2023,6,8,14,16,24,572
2.16900,-0.26442,0.06475,0.00000,0.02464,0.97795,-0.17409,2023,6,8,14,16,24,583
2.16910,-0.03692,-0.04025,0.00000,0.02525,0.97746,-0.17483,2023,6,8,14,16,24,595
2.16920,0.08558,0.06475,0.00000,0.02574,0.97759,-0.17385,2023,6,8,14,16,24,606
2.16930,-0.21192,0.06475,0.00000,0.02342,0.97844,-0.17483,2023,6,8,14,16,24,617
2.16940,0.03308,-0.12775,0.00000,0.02672,0.97698,-0.17385,2023,6,8,14,16,24,628
2.16950,-0.08942,-0.25025,0.00000,0.02464,0.98161,-0.17629,2023,6,8,14,16,24,639
2.16960,-0.17692,-0.02275,0.00000,0.02391,0.97820,-0.17470,2023,6,8,14,16,24,650
2.16970,-0.07192,-0.05775,0.00000,0.02403,0.97649,-0.17434,2023,6,8,14,16,24,661
2.16980,0.22558,0.02975,0.00000,0.02501,0.97759,-0.17483,2023,6,8,14,16,24,672
2.16990,-0.03692,0.06475,0.00000,0.02220,0.97624,-0.17483,2023,6,8,14,16,24,683
2.17000,-0.05442,-0.02275,0.00000,0.02501,0.97637,-0.17470,2023,6,8,14,16,24,695
2.17010,-0.24692,-0.04025,0.00000,0.02464,0.97746,-0.17239,2023,6,8,14,16,24,706
2.17020,-0.19442,-0.02275,0.00000,0.02428,0.97868,-0.17397,2023,6,8,14,16,24,717
2.17030,0.15558,-0.18025,0.00000,0.02379,0.97685,-0.17568,2023,6,8,14,16,24,728
2.17040,0.33058,-0.16275,0.00000,0.02464,0.97844,-0.17617,2023,6,8,14,16,24,739
2.17050,0.01558,0.13475,0.00000,0.02477,0.97759,-0.17458,2023,6,8,14,16,24,750
2.17060,-0.10692,-0.14525,0.00000,0.02489,0.97795,-0.17373,2023,6,8,14,16,24,761
