#2023/06/09 18:01:11
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
0.00000,3.13250,-4.67250,0.00000,0.01171,0.96892,-0.21618,2023,6,9,18,1,27,763
0.00010,2.97500,-4.27000,0.00000,0.01232,0.96795,-0.21265,2023,6,9,18,1,29,4
0.00020,2.81750,-4.51500,0.00000,0.01183,0.96953,-0.21350,2023,6,9,18,1,35,5
0.00030,2.92250,-4.44500,0.00000,0.01342,0.96795,-0.21399,2023,6,9,18,1,35,16
0.00040,2.97500,-4.53250,0.00000,0.01122,0.96734,-0.21374,2023,6,9,18,1,35,27
0.00050,3.30750,-4.69000,0.00000,0.01379,0.97014,-0.21509,2023,6,9,18,1,35,38
0.00060,3.13250,-4.65500,0.00000,0.01171,0.97027,-0.21326,2023,6,9,18,1,35,49
0.00070,3.06250,-4.49750,0.00000,0.01391,0.96929,-0.21655,2023,6,9,18,1,35,60
0.00080,2.90500,-4.62000,0.00000,0.01318,0.96831,-0.21521,2023,6,9,18,1,35,71
0.00090,2.81750,-4.76000,0.00000,0.01318,0.96941,-0.21399,2023,6,9,18,1,35,82
0.00100,2.88750,-4.42750,0.00000,0.01110,0.96807,-0.21496,2023,6,9,18,1,35,94
0.00110,3.32500,-4.63750,0.00000,0.01610,0.97124,-0.21557,2023,6,9,18,1,35,105
0.00120,3.39500,-4.49750,0.00000,0.01037,0.96892,-0.21667,2023,6,9,18,1,35,116
0.00130,3.23750,-4.62000,0.00000,0.01403,0.96990,-0.21338,2023,6,9,18,1,35,127
0.00140,3.32500,-4.49750,0.00000,0.01354,0.96941,-0.21338,2023,6,9,18,1,35,138
0.00150,3.22000,-4.56750,0.00000,0.00976,0.96636,-0.21484,2023,6,9,18,1,35,149
0.00160,3.13250,-4.48000,0.00000,0.01232,0.96990,-0.21509,2023,6,9,18,1,35,160
0.00170,2.99250,-4.51500,0.00000,0.01220,0.97075,-0.21423,2023,6,9,18,1,35,171
0.00180,2.88750,-4.53250,0.00000,0.01415,0.97136,-0.21301,2023,6,9,18,1,35,183
0.00190,3.04500,-4.49750,0.00000,0.01220,0.97051,-0.21265,2023,6,9,18,1,35,194
0.00200,2.95750,-4.76000,0.00000,0.01147,0.96941,-0.21265,2023,6,9,18,1,35,205
0.00210,3.09750,-4.55000,0.00000,0.01171,0.96770,-0.21216,2023,6,9,18,1,35,216
0.00220,3.18500,-4.42750,0.00000,0.01244,0.96892,-0.21326,2023,6,9,18,1,35,227
0.00230,3.16750,-4.60250,0.00000,0.01061,0.97075,-0.21435,2023,6,9,18,1,35,238
0.00240,3.18500,-4.44500,0.00000,0.01330,0.96905,-0.21509,2023,6,9,18,1,35,249
0.00250,3.15000,-4.76000,0.00000,0.01318,0.96868,-0.21374,2023,6,9,18,1,35,260
0.00260,2.85250,-4.51500,0.00000,0.01305,0.96770,-0.21350,2023,6,9,18,1,35,271
0.00270,2.81750,-4.41000,0.00000,0.01269,0.96734,-0.21301,2023,6,9,18,1,35,282
0.00280,3.02750,-4.67250,0.00000,0.01159,0.96783,-0.21374,2023,6,9,18,1,35,294
0.00290,3.20250,-4.56750,0.00000,0.01147,0.97002,-0.21387,2023,6,9,18,1,35,305
0.00300,3.53500,-4.49750,0.00000,0.01244,0.96966,-0.21631,2023,6,9,18,1,35,316
0.00310,3.43000,-4.72500,0.00000,0.01293,0.97002,-0.21521,2023,6,9,18,1,35,327
0.00320,3.18500,-4.60250,0.00000,0.01196,0.96844,-0.21740,2023,6,9,18,1,35,338
0.00330,2.76500,-4.53250,0.00000,0.01244,0.96966,-0.21533,2023,6,9,18,1,35,349
0.00340,2.62500,-4.62000,0.00000,0.01061,0.97075,-0.21484,2023,6,9,18,1,35,360
0.00350,2.73000,-4.79500,0.00000,0.01196,0.96673,-0.21326,2023,6,9,18,1,35,371
0.00360,3.23750,-4.56750,0.00000,0.01244,0.96831,-0.21362,2023,6,9,18,1,35,382
0.00370,3.78000,-4.60250,0.00000,0.01098,0.96990,-0.21191,2023,6,9,18,1,35,394
0.00380,3.50000,-4.62000,0.00000,0.01476,0.96709,-0.21435,2023,6,9,18,1,35,405
0.00390,3.23750,-4.65500,0.00000,0.01257,0.96819,-0.21472,2023,6,9,18,1,35,416
0.00400,3.08000,-4.41000,0.00000,0.01415,0.96905,-0.21582,2023,6,9,18,1,35,427
0.00410,2.78250,-4.55000,0.00000,0.01513,0.96929,-0.21570,2023,6,9,18,1,35,438
0.00420,2.99250,-4.63750,0.00000,0.01244,0.96807,-0.21094,2023,6,9,18,1,35,449
0.00430,3.11500,-4.69000,0.00000,0.01281,0.96770,-0.21448,2023,6,9,18,1,35,460
0.00440,3.30750,-4.41000,0.00000,0.01318,0.96612,-0.21460,2023,6,9,18,1,35,471
0.00450,3.18500,-4.48000,0.00000,0.01135,0.96966,-0.21472,2023,6,9,18,1,35,482
0.00460,2.95750,-4.55000,0.00000,0.01025,0.97002,-0.21362,2023,6,9,18,1,35,494
0.00470,3.09750,-5.00500,0.00000,0.01379,0.97039,-0.21387,2023,6,9,18,1,35,505
0.00480,3.25500,-4.58500,0.00000,0.01244,0.96929,-0.21350,2023,6,9,18,1,35,516
0.00490,3.20250,-4.28750,0.00000,0.01244,0.96905,-0.21582,2023,6,9,18,1,35,527
0.00500,2.92250,-4.62000,0.00000,0.01135,0.96892,-0.21618,2023,6,9,18,1,35,538
0.00510,3.06250,-4.63750,0.00000,0.01049,0.96892,-0.21533,2023,6,9,18,1,35,549
0.00520,2.87000,-4.74250,0.00000,0.01086,0.97100,-0.21362,2023,6,9,18,1,35,560
0.00530,2.90500,-4.51500,0.00000,0.01257,0.96709,-0.21387,2023,6,9,18,1,35,571
0.00540,3.32500,-4.60250,0.00000,0.01098,0.97149,-0.21460,2023,6,9,18,1,35,582
0.00550,3.36000,-4.42750,0.00000,0.01232,0.96795,-0.21545,2023,6,9,18,1,35,594
0.00560,3.44750,-4.46250,0.00000,0.01159,0.96917,-0.21509,2023,6,9,18,1,35,605
0.00570,3.02750,-4.60250,0.00000,0.01135,0.96831,-0.21606,2023,6,9,18,1,35,616
0.00580,2.59000,-4.39250,0.00000,0.01171,0.96856,-0.21582,2023,6,9,18,1,35,627
0.00590,2.53750,-4.53250,0.00000,0.01598,0.97014,-0.21362,2023,6,9,18,1,35,638
0.00600,3.08000,-4.76000,0.00000,0.01318,0.97002,-0.21411,2023,6,9,18,1,35,649
0.00610,3.30750,-4.63750,0.00000,0.01379,0.96856,-0.21350,2023,6,9,18,1,35,660
0.00620,3.58750,-4.56750,0.00000,0.01269,0.97063,-0.21387,2023,6,9,18,1,35,671
0.00630,3.18500,-4.62000,0.00000,0.01159,0.96795,-0.21411,2023,6,9,18,1,35,682
0.00640,2.95750,-4.90000,0.00000,0.01098,0.96892,-0.21618,2023,6,9,18,1,35,694
0.00650,2.80000,-4.58500,0.00000,0.01098,0.96868,-0.21313,2023,6,9,18,1,35,705
0.00660,2.73000,-4.51500,0.00000,0.01232,0.96978,-0.21155,2023,6,9,18,1,35,716
0.00670,3.06250,-4.58500,0.00000,0.01232,0.96844,-0.21118,2023,6,9,18,1,35,727
0.00680,3.30750,-4.60250,0.00000,0.01159,0.96953,-0.21326,2023,6,9,18,1,35,738
0.00690,3.41250,-4.55000,0.00000,0.01281,0.96807,-0.21204,2023,6,9,18,1,35,749
0.00700,3.29000,-4.49750,0.00000,0.01232,0.97014,-0.21448,2023,6,9,18,1,35,760
0.00710,3.27250,-4.58500,0.00000,0.01354,0.96697,-0.21448,2023,6,9,18,1,35,771
0.00720,2.83500,-4.41000,0.00000,0.01122,0.96807,-0.21387,2023,6,9,18,1,35,782
0.00730,2.95750,-4.46250,0.00000,0.01244,0.96953,-0.21435,2023,6,9,18,1,35,794
0.00740,2.92250,-4.72500,0.00000,0.01293,0.96868,-0.21484,2023,6,9,18,1,35,805
0.00750,2.92250,-4.44500,0.00000,0.01403,0.96966,-0.21460,2023,6,9,18,1,35,816
0.00760,3.04500,-4.62000,0.00000,0.01086,0.97051,-0.21557,2023,6,9,18,1,35,827
0.00770,3.15000,-4.69000,0.00000,0.01305,0.96807,-0.21509,2023,6,9,18,1,35,838
0.00780,3.43000,-4.69000,0.00000,0.01147,0.96831,-0.21545,2023,6,9,18,1,35,849
0.00790,3.50000,-4.60250,0.00000,0.01257,0.96905,-0.21411,2023,6,9,18,1,35,860
0.00800,3.09750,-4.48000,0.00000,0.01013,0.96844,-0.21423,2023,6,9,18,1,35,871
0.00810,2.87000,-4.42750,0.00000,0.01379,0.97014,-0.21326,2023,6,9,18,1,35,882
0.00820,2.92250,-4.49750,0.00000,0.01269,0.96844,-0.21338,2023,6,9,18,1,35,894
0.00830,2.97500,-4.70750,0.00000,0.01391,0.96929,-0.21509,2023,6,9,18,1,35,905
0.00840,2.92250,-4.56750,0.00000,0.01269,0.96868,-0.21313,2023,6,9,18,1,35,916
0.00850,3.09750,-4.42750,0.00000,0.01232,0.96795,-0.21387,2023,6,9,18,1,35,927
0.00860,3.22000,-4.62000,0.00000,0.01330,0.96844,-0.21423,2023,6,9,18,1,35,938
0.00870,3.27250,-4.51500,0.00000,0.01269,0.96917,-0.21411,2023,6,9,18,1,35,949
0.00880,3.16750,-4.56750,0.00000,0.01305,0.97014,-0.21606,2023,6,9,18,1,35,960
0.00890,2.95750,-4.51500,0.00000,0.01366,0.96941,-0.21423,2023,6,9,18,1,35,971
0.00900,2.87000,-4.56750,0.00000,0.01415,0.97136,-0.21557,2023,6,9,18,1,35,982
0.00910,2.85250,-4.84750,0.00000,0.01391,0.96892,-0.21326,2023,6,9,18,1,35,994
0.00920,2.99250,-4.60250,0.00000,0.01366,0.97039,-0.21362,2023,6,9,18,1,35,5
0.00930,3.11500,-4.72500,0.00000,0.01074,0.96807,-0.21301,2023,6,9,18,1,35,16
0.00940,3.79750,-4.55000,0.00000,0.01379,0.96917,-0.21509,2023,6,9,18,1,35,27
0.00950,3.69250,-4.62000,0.00000,0.01415,0.97014,-0.21313,2023,6,9,18,1,35,38
0.00960,3.09750,-4.56750,0.00000,0.01183,0.96892,-0.21350,2023,6,9,18,1,35,49
0.00970,2.50250,-4.44500,0.00000,0.01147,0.97063,-0.21533,2023,6,9,18,1,35,60
0.00980,2.53750,-4.51500,0.00000,0.01159,0.96978,-0.21082,2023,6,9,18,1,35,71
0.00990,2.66000,-4.44500,0.00000,0.01013,0.97283,-0.21350,2023,6,9,18,1,35,82
0.01000,3.08000,-4.65500,0.00000,0.01440,0.96856,-0.21106,2023,6,9,18,1,35,94
0.01010,3.65750,-4.55000,0.00000,0.01403,0.96905,-0.21240,2023,6,9,18,1,35,105
0.01020,3.64000,-4.62000,0.00000,0.01025,0.97234,-0.21301,2023,6,9,18,1,35,116
0.01030,3.32500,-4.58500,0.00000,0.01427,0.96892,-0.21387,2023,6,9,18,1,35,127
0.01040,2.76500,-4.63750,0.00000,0.01427,0.96795,-0.21362,2023,6,9,18,1,35,138
0.01050,2.76500,-4.72500,0.00000,0.01183,0.97149,-0.21631,2023,6,9,18,1,35,149
0.01060,2.94000,-4.63750,0.00000,0.01391,0.96953,-0.21130,2023,6,9,18,1,35,160
0.01070,2.85250,-4.55000,0.00000,0.01171,0.96868,-0.21240,2023,6,9,18,1,35,171
0.01080,3.32500,-4.63750,0.00000,0.01354,0.97197,-0.21423,2023,6,9,18,1,35,182
0.01090,3.41250,-4.74250,0.00000,0.01379,0.96783,-0.21179,2023,6,9,18,1,35,194
0.01100,3.22000,-4.55000,0.00000,0.01305,0.96941,-0.21374,2023,6,9,18,1,35,205
0.01110,3.16750,-4.62000,0.00000,0.01110,0.96819,-0.21069,2023,6,9,18,1,35,216
0.01120,2.97500,-4.74250,0.00000,0.01244,0.96795,-0.21204,2023,6,9,18,1,35,227
0.01130,2.97500,-4.67250,0.00000,0.01342,0.96990,-0.21191,2023,6,9,18,1,35,238
0.01140,3.08000,-4.72500,0.00000,0.01354,0.97149,-0.21240,2023,6,9,18,1,35,249
0.01150,3.27250,-4.60250,0.00000,0.01379,0.96905,-0.21130,2023,6,9,18,1,35,260
0.01160,3.20250,-4.49750,0.00000,0.01342,0.96868,-0.21301,2023,6,9,18,1,35,271
0.01170,2.85250,-4.53250,0.00000,0.01452,0.96905,-0.21204,2023,6,9,18,1,35,282
0.01180,2.67750,-4.34000,0.00000,0.01305,0.97014,-0.21387,2023,6,9,18,1,35,294
0.01190,2.99250,-4.65500,0.00000,0.01049,0.96819,-0.21277,2023,6,9,18,1,35,305
0.01200,3.57000,-4.74250,0.00000,0.01330,0.97027,-0.21179,2023,6,9,18,1,35,316
0.01210,3.72750,-4.69000,0.00000,0.01342,0.96978,-0.21423,2023,6,9,18,1,35,327
0.01220,3.34250,-4.49750,0.00000,0.01183,0.97002,-0.21326,2023,6,9,18,1,35,338
0.01230,2.90500,-4.56750,0.00000,0.01342,0.96758,-0.21374,2023,6,9,18,1,35,349
0.01240,2.57250,-4.35750,0.00000,0.01464,0.97027,-0.21252,2023,6,9,18,1,35,360
0.01250,2.83500,-4.74250,0.00000,0.01330,0.97002,-0.21460,2023,6,9,18,1,35,371
0.01260,3.09750,-4.37500,0.00000,0.01318,0.97027,-0.21228,2023,6,9,18,1,35,382
