#2023/06/08 13:33:53
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
0.44590,0.11865,-0.08190,0.00000,0.03196,0.97783,-0.17592,0.0,2023,6,8,13,34,5,8
0.44600,-0.12635,-0.01190,0.00000,0.02879,0.97783,-0.17544,0.0,2023,6,8,13,34,13,9
0.44610,-0.09135,0.12810,0.00000,0.02977,0.97673,-0.17348,0.0,2023,6,8,13,34,15,0
0.44620,-0.17885,0.11060,0.00000,0.03172,0.97795,-0.17519,0.0,2023,6,8,13,34,20,1
0.44630,0.20615,-0.01190,0.00000,0.03026,0.97832,-0.17507,0.0,2023,6,8,13,34,21,2
0.44640,-0.10885,0.07560,0.00000,0.02867,0.97746,-0.17373,0.0,2023,6,8,13,34,21,13
0.44650,0.13615,0.19810,0.00000,0.03001,0.97734,-0.17483,0.0,2023,6,8,13,34,22,4
0.44660,0.03115,-0.09940,0.00000,0.03062,0.97868,-0.17409,0.0,2023,6,8,13,34,25,5
0.44670,-0.03885,-0.06440,0.00000,0.03087,0.97832,-0.17409,0.0,2023,6,8,13,34,27,6
0.44680,0.04865,-0.02940,0.00000,0.03221,0.97673,-0.17336,0.0,2023,6,8,13,34,27,18
0.44690,0.03115,0.00560,0.00000,0.03221,0.97905,-0.17409,0.0,2023,6,8,13,34,27,29
0.44700,-0.07385,0.00560,0.00000,0.02965,0.97783,-0.17483,0.0,2023,6,8,13,34,27,40
0.44710,0.10115,-0.18690,0.00000,0.03099,0.97746,-0.17251,0.0,2023,6,8,13,34,27,51
0.44720,-0.09135,0.09310,0.00000,0.02782,0.97942,-0.17422,0.0,2023,6,8,13,34,27,62
0.44730,-0.09135,0.21560,0.00000,0.03087,0.97783,-0.17312,0.0,2023,6,8,13,34,27,73
0.44740,0.08365,-0.02940,0.00000,0.03306,0.97624,-0.17568,0.0,2023,6,8,13,34,27,84
0.44750,0.18865,0.18060,0.00000,0.03184,0.97807,-0.17251,0.0,2023,6,8,13,34,27,95
0.44760,0.08365,0.21560,0.00000,0.03074,0.98064,-0.17324,0.0,2023,6,8,13,34,27,106
0.44770,0.01365,-0.15190,0.00000,0.03038,0.97685,-0.17336,0.0,2023,6,8,13,34,27,118
0.44780,-0.05635,0.14560,0.00000,0.02904,0.98051,-0.17373,0.0,2023,6,8,13,34,27,129
0.44790,0.06615,0.04060,0.00000,0.02782,0.97942,-0.17287,0.0,2023,6,8,13,34,27,140
0.44800,-0.03885,0.04060,0.00000,0.03123,0.97734,-0.17239,0.0,2023,6,8,13,34,27,151
0.44810,-0.09135,-0.11690,0.00000,0.03038,0.97661,-0.17434,0.0,2023,6,8,13,34,27,162
0.44820,-0.07385,0.05810,0.00000,0.02977,0.97942,-0.17300,0.0,2023,6,8,13,34,27,173
0.44830,-0.14385,0.02310,0.00000,0.02843,0.98064,-0.17104,0.0,2023,6,8,13,34,27,184
0.44840,-0.07385,-0.08190,0.00000,0.03135,0.97942,-0.17239,0.0,2023,6,8,13,34,27,195
0.44850,0.29365,-0.04690,0.00000,0.03209,0.97637,-0.17519,0.0,2023,6,8,13,34,27,206
0.44860,0.03115,0.14560,0.00000,0.03050,0.97698,-0.17507,0.0,2023,6,8,13,34,27,218
0.44870,-0.12635,0.12810,0.00000,0.03050,0.97844,-0.17226,0.0,2023,6,8,13,34,27,229
0.44880,-0.02135,-0.18690,0.00000,0.03160,0.97844,-0.17312,0.0,2023,6,8,13,34,27,240
0.44890,-0.14385,0.14560,0.00000,0.02940,0.97929,-0.17336,0.0,2023,6,8,13,34,27,251
0.44900,-0.03885,0.04060,0.00000,0.03062,0.97832,-0.17300,0.0,2023,6,8,13,34,27,262
0.44910,0.13615,0.09310,0.00000,0.03318,0.97856,-0.17422,0.0,2023,6,8,13,34,27,273
0.44920,-0.10885,0.02310,0.00000,0.03184,0.97807,-0.17226,0.0,2023,6,8,13,34,27,284
0.44930,-0.10885,0.00560,0.00000,0.03001,0.97905,-0.17202,0.0,2023,6,8,13,34,27,295
0.44940,0.01365,-0.06440,0.00000,0.03184,0.97868,-0.17336,0.0,2023,6,8,13,34,27,306
0.44950,-0.00385,-0.02940,0.00000,0.03233,0.97698,-0.17483,0.0,2023,6,8,13,34,27,318
0.44960,0.13615,-0.22190,0.00000,0.03172,0.98051,-0.17300,0.0,2023,6,8,13,34,27,329
0.44970,-0.16135,0.09310,0.00000,0.02928,0.97844,-0.17019,0.0,2023,6,8,13,34,27,340
0.44980,0.01365,-0.04690,0.00000,0.03135,0.97722,-0.17117,0.0,2023,6,8,13,34,27,351
0.44990,0.03115,-0.06440,0.00000,0.03026,0.97893,-0.17397,0.0,2023,6,8,13,34,27,362
0.45000,-0.19635,0.02310,0.00000,0.02904,0.97795,-0.17336,0.0,2023,6,8,13,34,27,373
0.45010,0.06615,-0.02940,0.00000,0.02830,0.97917,-0.17287,0.0,2023,6,8,13,34,27,384
0.45020,-0.07385,-0.16940,0.00000,0.03123,0.97820,-0.17348,0.0,2023,6,8,13,34,27,395
0.45030,0.15365,0.11060,0.00000,0.02989,0.97990,-0.17312,0.0,2023,6,8,13,34,27,406
0.45040,0.20615,-0.01190,0.00000,0.03257,0.97990,-0.17312,0.0,2023,6,8,13,34,27,418
0.45050,-0.00385,-0.06440,0.00000,0.03221,0.97637,-0.17324,0.0,2023,6,8,13,34,27,429
0.45060,-0.09135,-0.02940,0.00000,0.02904,0.97722,-0.17153,0.0,2023,6,8,13,34,27,440
0.45070,-0.14385,-0.09940,0.00000,0.03245,0.97868,-0.17312,0.0,2023,6,8,13,34,27,451
0.45080,-0.03885,0.21560,0.00000,0.02977,0.97685,-0.17336,0.0,2023,6,8,13,34,27,462
0.45090,0.13615,-0.04690,0.00000,0.03111,0.98015,-0.17287,0.0,2023,6,8,13,34,27,473
0.45100,0.01365,0.18060,0.00000,0.02989,0.97856,-0.17287,0.0,2023,6,8,13,34,27,484
0.45110,-0.02135,-0.08190,0.00000,0.03050,0.97685,-0.17226,0.0,2023,6,8,13,34,27,495
0.45120,-0.05635,-0.01190,0.00000,0.03038,0.97893,-0.17178,0.0,2023,6,8,13,34,27,506
0.45130,-0.17885,-0.02940,0.00000,0.02794,0.97820,-0.17190,0.0,2023,6,8,13,34,27,518
0.45140,-0.02135,0.04060,0.00000,0.02940,0.97710,-0.17470,0.0,2023,6,8,13,34,27,529
