#2023/06/08 13:39:09
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
1.13610,0.01488,0.24413,0.00000,0.02965,0.97966,-0.17580,0.0,2023,6,8,13,39,10,273
1.13620,0.04988,0.06913,0.00000,0.03026,0.98015,-0.17531,0.0,2023,6,8,13,39,10,284
1.13630,0.04988,-0.22837,0.00000,0.03050,0.97722,-0.17300,0.0,2023,6,8,13,39,10,295
1.13640,0.06738,0.20913,0.00000,0.03172,0.97759,-0.17568,0.0,2023,6,8,13,39,10,306
1.13650,0.13738,-0.19337,0.00000,0.03160,0.97624,-0.17190,0.0,2023,6,8,13,39,10,317
1.13660,0.15488,-0.03587,0.00000,0.03343,0.97881,-0.17348,0.0,2023,6,8,13,39,10,328
1.13670,0.03238,0.01663,0.00000,0.03074,0.98088,-0.17397,0.0,2023,6,8,13,39,10,339
1.13680,0.01488,0.05163,0.00000,0.02916,0.97844,-0.17202,0.0,2023,6,8,13,39,10,350
1.13690,-0.17762,0.05163,0.00000,0.03026,0.97844,-0.17104,0.0,2023,6,8,13,39,10,361
1.13700,0.03238,0.10413,0.00000,0.02977,0.97722,-0.17385,0.0,2023,6,8,13,39,10,373
1.13710,-0.17762,-0.15837,0.00000,0.03099,0.97783,-0.17483,0.0,2023,6,8,13,39,10,384
1.13720,0.01488,0.17413,0.00000,0.03135,0.98149,-0.17226,0.0,2023,6,8,13,39,10,395
1.13730,-0.02012,0.20913,0.00000,0.03123,0.97734,-0.17239,0.0,2023,6,8,13,39,10,406
1.13740,-0.14262,0.06913,0.00000,0.03160,0.97795,-0.17104,0.0,2023,6,8,13,39,10,417
1.13750,0.01488,-0.03587,0.00000,0.03123,0.97771,-0.17324,0.0,2023,6,8,13,39,10,428
1.13760,-0.12512,-0.05337,0.00000,0.02891,0.97698,-0.17470,0.0,2023,6,8,13,39,10,439
1.13770,-0.10762,0.03413,0.00000,0.03160,0.97710,-0.17239,0.0,2023,6,8,13,39,10,450
1.13780,0.18988,0.05163,0.00000,0.03099,0.97759,-0.17239,0.0,2023,6,8,13,39,10,461
1.13790,-0.00262,0.06913,0.00000,0.03148,0.97771,-0.17263,0.0,2023,6,8,13,39,10,473
1.13800,0.11988,-0.07087,0.00000,0.03111,0.98015,-0.17202,0.0,2023,6,8,13,39,10,484
1.13810,-0.14262,-0.08837,0.00000,0.02977,0.97893,-0.17251,0.0,2023,6,8,13,39,10,495
1.13820,-0.02012,0.10413,0.00000,0.03013,0.97942,-0.17446,0.0,2023,6,8,13,39,10,506
1.13830,-0.14262,0.13913,0.00000,0.03001,0.97746,-0.17495,0.0,2023,6,8,13,39,10,517
1.13840,-0.03762,0.08663,0.00000,0.03074,0.97795,-0.17263,0.0,2023,6,8,13,39,10,528
1.13850,-0.12512,0.13913,0.00000,0.03026,0.97893,-0.17287,0.0,2023,6,8,13,39,10,539
1.13860,0.10238,-0.01837,0.00000,0.03074,0.97881,-0.17324,0.0,2023,6,8,13,39,10,550
1.13870,-0.03762,0.06913,0.00000,0.03172,0.97771,-0.17348,0.0,2023,6,8,13,39,10,561
1.13880,-0.05512,0.05163,0.00000,0.02904,0.97661,-0.17178,0.0,2023,6,8,13,39,10,573
1.13890,-0.00262,0.13913,0.00000,0.03062,0.97832,-0.17409,0.0,2023,6,8,13,39,10,584
1.13900,-0.05512,0.13913,0.00000,0.03074,0.97868,-0.17202,0.0,2023,6,8,13,39,10,595
1.13910,0.03238,-0.03587,0.00000,0.03148,0.97868,-0.17409,0.0,2023,6,8,13,39,10,606
1.13920,-0.07262,-0.12337,0.00000,0.03184,0.97881,-0.17226,0.0,2023,6,8,13,39,10,617
1.13930,-0.00262,0.01663,0.00000,0.03087,0.97954,-0.17422,0.0,2023,6,8,13,39,10,628
1.13940,-0.02012,-0.05337,0.00000,0.03209,0.97746,-0.17409,0.0,2023,6,8,13,39,10,639
1.13950,0.10238,-0.00087,0.00000,0.03087,0.97722,-0.17361,0.0,2023,6,8,13,39,10,650
1.13960,-0.12512,0.10413,0.00000,0.02904,0.97698,-0.17287,0.0,2023,6,8,13,39,10,661
1.13970,-0.19512,0.06913,0.00000,0.02977,0.97771,-0.17202,0.0,2023,6,8,13,39,10,673
1.13980,0.01488,0.13913,0.00000,0.03087,0.97807,-0.17190,0.0,2023,6,8,13,39,10,684
1.13990,-0.10762,0.10413,0.00000,0.03087,0.97868,-0.17361,0.0,2023,6,8,13,39,10,695
1.14000,-0.00262,0.10413,0.00000,0.03099,0.97722,-0.17373,0.0,2023,6,8,13,39,10,706
1.14010,-0.07262,0.20913,0.00000,0.03050,0.97807,-0.17629,0.0,2023,6,8,13,39,10,717
1.14020,-0.19512,-0.00087,0.00000,0.03111,0.97844,-0.17324,0.0,2023,6,8,13,39,10,728
1.14030,-0.07262,0.26163,0.00000,0.02904,0.97746,-0.17092,0.0,2023,6,8,13,39,10,739
1.14040,-0.00262,0.15663,0.00000,0.03184,0.97576,-0.17434,0.0,2023,6,8,13,39,10,750
1.14050,-0.09012,0.24413,0.00000,0.03196,0.97710,-0.17544,0.0,2023,6,8,13,39,10,761
1.14060,0.01488,0.10413,0.00000,0.03160,0.97661,-0.17239,0.0,2023,6,8,13,39,10,773
1.14070,-0.09012,0.03413,0.00000,0.02977,0.97795,-0.17300,0.0,2023,6,8,13,39,10,784
1.14080,0.11988,-0.05337,0.00000,0.02928,0.97844,-0.17312,0.0,2023,6,8,13,39,10,795
1.14090,-0.14262,0.01663,0.00000,0.03062,0.97698,-0.17190,0.0,2023,6,8,13,39,10,806
1.14100,0.06738,-0.05337,0.00000,0.03087,0.97807,-0.17336,0.0,2023,6,8,13,39,10,817
1.14110,-0.00262,-0.12337,0.00000,0.03038,0.97966,-0.17056,0.0,2023,6,8,13,39,10,828
1.14120,-0.02012,0.26163,0.00000,0.03135,0.98015,-0.17251,0.0,2023,6,8,13,39,10,839
1.14130,0.22488,-0.15837,0.00000,0.02940,0.97954,-0.17348,0.0,2023,6,8,13,39,10,850
1.14140,0.11988,-0.01837,0.00000,0.03074,0.97795,-0.17275,0.0,2023,6,8,13,39,10,861
1.14150,-0.03762,0.03413,0.00000,0.02916,0.97820,-0.17117,0.0,2023,6,8,13,39,10,873
1.14160,-0.24762,-0.00087,0.00000,0.03111,0.97673,-0.17312,0.0,2023,6,8,13,39,10,884
1.14170,0.03238,-0.14087,0.00000,0.03135,0.97917,-0.17214,0.0,2023,6,8,13,39,10,895
1.14180,-0.10762,0.12163,0.00000,0.03196,0.97746,-0.16982,0.0,2023,6,8,13,39,10,906
1.14190,0.20738,-0.05337,0.00000,0.02940,0.97942,-0.17409,0.0,2023,6,8,13,39,10,917
1.14200,-0.02012,-0.14087,0.00000,0.03209,0.97759,-0.17483,0.0,2023,6,8,13,39,10,928
1.14210,0.08488,0.10413,0.00000,0.02989,0.97771,-0.17495,0.0,2023,6,8,13,39,10,939
1.14220,-0.12512,-0.05337,0.00000,0.03172,0.97856,-0.17080,0.0,2023,6,8,13,39,10,950
1.14230,0.06738,-0.03587,0.00000,0.03172,0.97673,-0.17239,0.0,2023,6,8,13,39,10,961
1.14240,-0.10762,0.15663,0.00000,0.03074,0.97661,-0.17092,0.0,2023,6,8,13,39,10,973
1.14250,-0.05512,-0.03587,0.00000,0.03001,0.97832,-0.17312,0.0,2023,6,8,13,39,10,984
1.14260,-0.23012,-0.03587,0.00000,0.03245,0.97588,-0.17348,0.0,2023,6,8,13,39,11,5
1.14270,0.08488,-0.08837,0.00000,0.03123,0.97637,-0.17226,0.0,2023,6,8,13,39,11,16
1.14280,0.10238,0.13913,0.00000,0.03196,0.98051,-0.17117,0.0,2023,6,8,13,39,11,27
1.14290,-0.12512,0.01663,0.00000,0.02916,0.97771,-0.17422,0.0,2023,6,8,13,39,11,38
1.14300,0.01488,0.15663,0.00000,0.02830,0.97844,-0.17312,0.0,2023,6,8,13,39,11,49
1.14310,-0.09012,0.15663,0.00000,0.03013,0.97746,-0.17214,0.0,2023,6,8,13,39,11,60
