#2023/06/12 09:41:45
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
10.01590,2.85250,-4.49750,0.00000,0.02574,0.97380,-0.20203,2023,6,12,9,41,45,615
10.01600,2.95750,-4.65500,0.00000,0.02403,0.97185,-0.20472,2023,6,12,9,41,45,626
10.01610,2.83500,-4.35750,0.00000,0.02538,0.97197,-0.20362,2023,6,12,9,41,45,637
10.01620,3.06250,-4.41000,0.00000,0.02477,0.97551,-0.20398,2023,6,12,9,41,45,648
10.01630,2.94000,-4.60250,0.00000,0.02611,0.97295,-0.20301,2023,6,12,9,41,45,659
10.01640,2.83500,-4.51500,0.00000,0.02403,0.97332,-0.20130,2023,6,12,9,41,45,670
10.01650,2.99250,-4.49750,0.00000,0.02318,0.97502,-0.20447,2023,6,12,9,41,45,681
10.01660,2.94000,-4.49750,0.00000,0.02464,0.97246,-0.20362,2023,6,12,9,41,45,692
10.01670,2.88750,-4.42750,0.00000,0.02623,0.97136,-0.20276,2023,6,12,9,41,45,703
10.01680,3.02750,-4.72500,0.00000,0.02318,0.97027,-0.20203,2023,6,12,9,41,45,714
10.01690,2.88750,-4.65500,0.00000,0.02586,0.97405,-0.20154,2023,6,12,9,41,45,726
10.01700,2.66000,-4.62000,0.00000,0.02342,0.97307,-0.20569,2023,6,12,9,41,45,737
10.01710,2.95750,-4.63750,0.00000,0.02452,0.97234,-0.20435,2023,6,12,9,41,45,748
10.01720,2.76500,-4.41000,0.00000,0.02452,0.97258,-0.20594,2023,6,12,9,41,45,759
10.01730,2.87000,-4.41000,0.00000,0.02416,0.97222,-0.20618,2023,6,12,9,41,45,770
10.01740,3.02750,-4.58500,0.00000,0.02355,0.97161,-0.20557,2023,6,12,9,41,45,781
10.01750,2.67750,-4.37500,0.00000,0.02464,0.97136,-0.20581,2023,6,12,9,41,45,792
10.01760,3.04500,-4.70750,0.00000,0.02416,0.97332,-0.20337,2023,6,12,9,41,45,803
10.01770,2.74750,-4.67250,0.00000,0.02367,0.97429,-0.20411,2023,6,12,9,41,45,814
10.01780,2.81750,-4.62000,0.00000,0.02574,0.97246,-0.20130,2023,6,12,9,41,45,826
10.01790,2.78250,-4.41000,0.00000,0.02806,0.97356,-0.20459,2023,6,12,9,41,45,837
10.01800,2.95750,-4.48000,0.00000,0.02550,0.97344,-0.20520,2023,6,12,9,41,45,848
10.01810,2.71250,-4.44500,0.00000,0.02281,0.97356,-0.20716,2023,6,12,9,41,45,859
10.01820,2.90500,-4.55000,0.00000,0.02513,0.97234,-0.20581,2023,6,12,9,41,45,870
10.01830,2.99250,-4.58500,0.00000,0.02501,0.97441,-0.20667,2023,6,12,9,41,45,881
10.01840,2.62500,-4.74250,0.00000,0.02623,0.97295,-0.20667,2023,6,12,9,41,45,892
10.01850,2.85250,-4.65500,0.00000,0.02599,0.97039,-0.20618,2023,6,12,9,41,45,903
10.01860,2.81750,-4.55000,0.00000,0.02452,0.97307,-0.20679,2023,6,12,9,41,45,914
10.01870,2.76500,-4.58500,0.00000,0.02391,0.97234,-0.20642,2023,6,12,9,41,45,926
10.01880,2.92250,-4.65500,0.00000,0.02318,0.97063,-0.20655,2023,6,12,9,41,45,937
10.01890,2.85250,-4.67250,0.00000,0.02452,0.97307,-0.20606,2023,6,12,9,41,45,948
10.01900,2.83500,-4.48000,0.00000,0.02440,0.97258,-0.20594,2023,6,12,9,41,45,959
10.01910,3.04500,-4.65500,0.00000,0.02477,0.97454,-0.20459,2023,6,12,9,41,45,970
10.01920,2.99250,-4.70750,0.00000,0.02367,0.97210,-0.20679,2023,6,12,9,41,45,981
10.01930,2.94000,-4.69000,0.00000,0.02306,0.97100,-0.20764,2023,6,12,9,41,45,992
10.01940,2.95750,-4.63750,0.00000,0.02440,0.97295,-0.20594,2023,6,12,9,41,45,3
10.01950,2.78250,-4.48000,0.00000,0.02586,0.97271,-0.20398,2023,6,12,9,41,45,14
10.01960,2.99250,-4.60250,0.00000,0.02416,0.97393,-0.20606,2023,6,12,9,41,45,26
10.01970,2.88750,-4.41000,0.00000,0.02806,0.97283,-0.20703,2023,6,12,9,41,45,37
10.01980,2.76500,-4.53250,0.00000,0.02416,0.97246,-0.20703,2023,6,12,9,41,45,48
10.01990,2.74750,-4.51500,0.00000,0.02611,0.97258,-0.20642,2023,6,12,9,41,45,59
10.02000,2.67750,-4.44500,0.00000,0.02647,0.97258,-0.20557,2023,6,12,9,41,45,70
10.02010,2.97500,-4.56750,0.00000,0.02233,0.97515,-0.20545,2023,6,12,9,41,45,81
10.02020,2.90500,-4.51500,0.00000,0.02294,0.97271,-0.20630,2023,6,12,9,41,45,92
10.02030,2.94000,-4.48000,0.00000,0.02440,0.97307,-0.20630,2023,6,12,9,41,45,103
10.02040,2.94000,-4.69000,0.00000,0.02733,0.97197,-0.20716,2023,6,12,9,41,45,114
10.02050,3.04500,-4.56750,0.00000,0.02550,0.97295,-0.20691,2023,6,12,9,41,45,126
10.02060,2.88750,-4.44500,0.00000,0.02733,0.97344,-0.20874,2023,6,12,9,41,45,137
10.02070,2.94000,-4.55000,0.00000,0.02611,0.97197,-0.20459,2023,6,12,9,41,45,148
10.02080,2.85250,-4.44500,0.00000,0.02245,0.97307,-0.20606,2023,6,12,9,41,45,159
10.02090,2.95750,-4.60250,0.00000,0.02306,0.97332,-0.20850,2023,6,12,9,41,45,170
10.02100,2.74750,-4.62000,0.00000,0.02684,0.97368,-0.20374,2023,6,12,9,41,45,181
10.02110,2.80000,-4.63750,0.00000,0.02647,0.97380,-0.20264,2023,6,12,9,41,45,192
10.02120,2.90500,-4.30500,0.00000,0.02489,0.97380,-0.20618,2023,6,12,9,41,45,203
10.02130,2.80000,-4.53250,0.00000,0.02562,0.97319,-0.20350,2023,6,12,9,41,45,214
10.02140,2.83500,-4.67250,0.00000,0.02172,0.97624,-0.20350,2023,6,12,9,41,45,226
10.02150,2.87000,-4.58500,0.00000,0.02452,0.97417,-0.20374,2023,6,12,9,41,45,237
10.02160,3.01000,-4.62000,0.00000,0.02550,0.97344,-0.20459,2023,6,12,9,41,45,248
10.02170,3.08000,-4.60250,0.00000,0.02355,0.97246,-0.20362,2023,6,12,9,41,45,259
10.02180,2.85250,-4.70750,0.00000,0.02367,0.97441,-0.20533,2023,6,12,9,41,45,270
10.02190,2.81750,-4.60250,0.00000,0.02721,0.97466,-0.20459,2023,6,12,9,41,45,281
10.02200,2.78250,-4.53250,0.00000,0.02794,0.97234,-0.20191,2023,6,12,9,41,45,292
10.02210,2.92250,-4.76000,0.00000,0.02623,0.97405,-0.20289,2023,6,12,9,41,45,303
10.02220,2.87000,-4.58500,0.00000,0.02489,0.97356,-0.20301,2023,6,12,9,41,45,314
10.02230,2.94000,-4.53250,0.00000,0.02342,0.97539,-0.20386,2023,6,12,9,41,45,326
10.02240,3.09750,-4.81250,0.00000,0.02330,0.97136,-0.20350,2023,6,12,9,41,45,337
10.02250,2.73000,-4.55000,0.00000,0.02403,0.97307,-0.20240,2023,6,12,9,41,45,348
10.02260,2.94000,-4.37500,0.00000,0.02403,0.97380,-0.20289,2023,6,12,9,41,45,359
10.02270,2.81750,-4.62000,0.00000,0.02806,0.97478,-0.20276,2023,6,12,9,41,45,370
10.02280,2.95750,-4.46250,0.00000,0.02843,0.97283,-0.20276,2023,6,12,9,41,45,381
10.02290,2.81750,-4.53250,0.00000,0.02538,0.97319,-0.20215,2023,6,12,9,41,45,392
10.02300,2.69500,-4.63750,0.00000,0.02355,0.97332,-0.20459,2023,6,12,9,41,45,403
10.02310,2.88750,-4.48000,0.00000,0.02342,0.97466,-0.20374,2023,6,12,9,41,45,414
10.02320,2.95750,-4.69000,0.00000,0.02367,0.97368,-0.20508,2023,6,12,9,41,45,426
10.02330,2.92250,-4.55000,0.00000,0.02452,0.97356,-0.20508,2023,6,12,9,41,45,437
10.02340,2.87000,-4.77750,0.00000,0.02550,0.97588,-0.20252,2023,6,12,9,41,45,448
10.02350,2.95750,-4.41000,0.00000,0.02477,0.97027,-0.20337,2023,6,12,9,41,45,459
10.02360,2.97500,-4.70750,0.00000,0.02672,0.97088,-0.20447,2023,6,12,9,41,45,470
10.02370,2.67750,-4.34000,0.00000,0.02635,0.97454,-0.20215,2023,6,12,9,41,45,481
10.02380,2.76500,-4.70750,0.00000,0.02538,0.97185,-0.20374,2023,6,12,9,41,45,492
10.02390,2.83500,-4.58500,0.00000,0.02367,0.97197,-0.20350,2023,6,12,9,41,45,503
10.02400,2.87000,-4.65500,0.00000,0.02599,0.97173,-0.20215,2023,6,12,9,41,45,514
10.02410,2.97500,-4.49750,0.00000,0.02550,0.97210,-0.20142,2023,6,12,9,41,45,526
10.02420,3.04500,-4.56750,0.00000,0.02538,0.97124,-0.20057,2023,6,12,9,41,45,537
10.02430,2.67750,-4.55000,0.00000,0.02599,0.97344,-0.20252,2023,6,12,9,41,45,548
10.02440,2.94000,-4.81250,0.00000,0.02550,0.97368,-0.20167,2023,6,12,9,41,45,559
10.02450,3.08000,-4.76000,0.00000,0.02550,0.97637,-0.20411,2023,6,12,9,41,45,570
10.02460,2.88750,-4.55000,0.00000,0.02281,0.97417,-0.20350,2023,6,12,9,41,45,581
10.02470,2.92250,-4.49750,0.00000,0.02477,0.97466,-0.20215,2023,6,12,9,41,45,592
10.02480,2.94000,-4.53250,0.00000,0.02416,0.97271,-0.20215,2023,6,12,9,41,45,603
10.02490,2.94000,-4.49750,0.00000,0.02428,0.97429,-0.20423,2023,6,12,9,41,45,614
10.02500,3.06250,-4.72500,0.00000,0.02428,0.97344,-0.20459,2023,6,12,9,41,45,626
10.02510,3.01000,-4.76000,0.00000,0.02513,0.97527,-0.20423,2023,6,12,9,41,45,637
10.02520,2.81750,-4.48000,0.00000,0.02355,0.97234,-0.20508,2023,6,12,9,41,45,648
10.02530,2.74750,-4.44500,0.00000,0.02574,0.97283,-0.20459,2023,6,12,9,41,45,659
10.02540,3.02750,-4.69000,0.00000,0.02452,0.97429,-0.20569,2023,6,12,9,41,45,670
10.02550,2.85250,-4.53250,0.00000,0.02342,0.97356,-0.20411,2023,6,12,9,41,45,681
10.02560,2.94000,-4.51500,0.00000,0.02623,0.97271,-0.20472,2023,6,12,9,41,45,692
10.02570,2.85250,-4.65500,0.00000,0.02440,0.97441,-0.20276,2023,6,12,9,41,45,703
10.02580,2.80000,-4.48000,0.00000,0.02342,0.97234,-0.20276,2023,6,12,9,41,45,714
10.02590,2.76500,-4.69000,0.00000,0.02538,0.97417,-0.20301,2023,6,12,9,41,45,726
10.02600,2.92250,-4.63750,0.00000,0.02391,0.97380,-0.20301,2023,6,12,9,41,45,737
10.02610,2.76500,-4.63750,0.00000,0.02440,0.97454,-0.20276,2023,6,12,9,41,45,748
10.02620,2.95750,-4.69000,0.00000,0.02452,0.97210,-0.20118,2023,6,12,9,41,45,759
10.02630,2.76500,-4.44500,0.00000,0.02379,0.97136,-0.20411,2023,6,12,9,41,45,770
10.02640,2.78250,-4.46250,0.00000,0.02599,0.97332,-0.20435,2023,6,12,9,41,45,781
10.02650,2.83500,-4.56750,0.00000,0.02611,0.97307,-0.20154,2023,6,12,9,41,45,792
10.02660,2.74750,-4.53250,0.00000,0.02550,0.97478,-0.20362,2023,6,12,9,41,45,803
10.02670,2.92250,-4.49750,0.00000,0.02367,0.97417,-0.20325,2023,6,12,9,41,45,814
10.02680,2.88750,-4.51500,0.00000,0.02489,0.97393,-0.20472,2023,6,12,9,41,45,826
10.02690,2.99250,-4.53250,0.00000,0.02525,0.97466,-0.20386,2023,6,12,9,41,45,837
10.02700,2.76500,-4.56750,0.00000,0.02477,0.97478,-0.20325,2023,6,12,9,41,45,848
10.02710,2.83500,-4.44500,0.00000,0.02501,0.97356,-0.20398,2023,6,12,9,41,45,859
10.02720,2.83500,-4.51500,0.00000,0.02428,0.97283,-0.20350,2023,6,12,9,41,45,870
10.02730,2.97500,-4.53250,0.00000,0.02318,0.97075,-0.20374,2023,6,12,9,41,45,881
10.02740,2.66000,-4.48000,0.00000,0.02635,0.97356,-0.20618,2023,6,12,9,41,45,892
10.02750,2.81750,-4.51500,0.00000,0.02391,0.97332,-0.20630,2023,6,12,9,41,45,903
10.02760,2.81750,-4.49750,0.00000,0.02330,0.97197,-0.20472,2023,6,12,9,41,45,914
10.02770,2.80000,-4.41000,0.00000,0.02367,0.97356,-0.20337,2023,6,12,9,41,45,926
10.02780,2.80000,-4.65500,0.00000,0.02477,0.97356,-0.20533,2023,6,12,9,41,45,937
10.02790,3.02750,-4.65500,0.00000,0.02367,0.97307,-0.20350,2023,6,12,9,41,45,948
10.02800,3.02750,-4.72500,0.00000,0.02599,0.97319,-0.20581,2023,6,12,9,41,45,959
10.02810,2.69500,-4.53250,0.00000,0.02635,0.97307,-0.20569,2023,6,12,9,41,45,970
10.02820,2.95750,-4.63750,0.00000,0.02538,0.97405,-0.20557,2023,6,12,9,41,45,981
10.02830,2.95750,-4.55000,0.00000,0.02586,0.97490,-0.20581,2023,6,12,9,41,45,992
10.02840,3.08000,-4.65500,0.00000,0.02342,0.97319,-0.20423,2023,6,12,9,41,45,3
10.02850,2.94000,-4.65500,0.00000,0.02355,0.97234,-0.20813,2023,6,12,9,41,45,14
10.02860,2.94000,-4.60250,0.00000,0.02611,0.97210,-0.20313,2023,6,12,9,41,45,26
10.02870,2.90500,-4.58500,0.00000,0.02599,0.97368,-0.20630,2023,6,12,9,41,45,37
10.02880,2.90500,-4.49750,0.00000,0.02464,0.97234,-0.20374,2023,6,12,9,41,45,48
10.02890,2.78250,-4.65500,0.00000,0.02550,0.97429,-0.20581,2023,6,12,9,41,45,59
