#2023/06/12 13:46:36
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
0.00000,2.76500,-4.42750,0.00000,-0.00854,0.01281,-0.98954,2023,6,12,13,46,36,61
0.00010,3.06250,-4.63750,0.00000,-0.00988,0.01122,-0.99064,2023,6,12,13,46,36,72
0.00020,3.09750,-4.67250,0.00000,-0.01025,0.01183,-0.98844,2023,6,12,13,46,36,83
0.00030,3.04500,-4.46250,0.00000,-0.00976,0.01196,-0.99040,2023,6,12,13,46,36,94
0.00040,3.04500,-4.41000,0.00000,-0.01061,0.01110,-0.99015,2023,6,12,13,46,36,105
0.00050,3.04500,-4.48000,0.00000,-0.00988,0.01061,-0.98844,2023,6,12,13,46,36,116
0.00060,2.99250,-4.44500,0.00000,-0.00964,0.01086,-0.98844,2023,6,12,13,46,36,127
0.00070,2.97500,-4.55000,0.00000,-0.01074,0.01196,-0.98710,2023,6,12,13,46,36,138
0.00080,3.09750,-4.55000,0.00000,-0.00976,0.01159,-0.98979,2023,6,12,13,46,36,149
0.00090,3.08000,-4.44500,0.00000,-0.00903,0.00964,-0.98722,2023,6,12,13,46,36,161
0.00100,3.01000,-4.79500,0.00000,-0.00817,0.01147,-0.98783,2023,6,12,13,46,36,172
0.00110,3.23750,-4.70750,0.00000,-0.00817,0.01086,-0.98991,2023,6,12,13,46,36,183
0.00120,3.02750,-4.49750,0.00000,-0.01269,0.01159,-0.98869,2023,6,12,13,46,36,194
0.00130,2.90500,-4.72500,0.00000,-0.01049,0.01257,-0.98869,2023,6,12,13,46,36,205
0.00140,2.88750,-4.77750,0.00000,-0.00976,0.01025,-0.98979,2023,6,12,13,46,36,216
0.00150,3.23750,-4.69000,0.00000,-0.00781,0.00976,-0.98918,2023,6,12,13,46,36,227
0.00160,2.95750,-4.63750,0.00000,-0.01000,0.01061,-0.98893,2023,6,12,13,46,36,238
0.00170,2.90500,-4.51500,0.00000,-0.01074,0.01025,-0.98710,2023,6,12,13,46,36,249
0.00180,3.04500,-4.49750,0.00000,-0.00964,0.01086,-0.98881,2023,6,12,13,46,36,261
0.00190,2.95750,-4.74250,0.00000,-0.00976,0.01098,-0.98954,2023,6,12,13,46,36,272
0.00200,3.02750,-4.51500,0.00000,-0.01037,0.01037,-0.99210,2023,6,12,13,46,36,283
0.00210,3.08000,-4.67250,0.00000,-0.01013,0.01122,-0.98771,2023,6,12,13,46,36,294
0.00220,3.11500,-4.67250,0.00000,-0.01049,0.01025,-0.98905,2023,6,12,13,46,36,305
0.00230,3.04500,-4.46250,0.00000,-0.00866,0.01135,-0.98918,2023,6,12,13,46,36,316
0.00240,3.06250,-4.48000,0.00000,-0.01074,0.01122,-0.99015,2023,6,12,13,46,36,327
0.00250,3.23750,-4.58500,0.00000,-0.01013,0.01208,-0.98796,2023,6,12,13,46,36,338
0.00260,3.23750,-4.55000,0.00000,-0.00939,0.01061,-0.98759,2023,6,12,13,46,36,349
0.00270,3.11500,-4.69000,0.00000,-0.00866,0.01037,-0.98942,2023,6,12,13,46,36,360
0.00280,3.18500,-4.70750,0.00000,-0.01110,0.00976,-0.98954,2023,6,12,13,46,36,372
0.00290,3.11500,-4.70750,0.00000,-0.00964,0.00964,-0.98857,2023,6,12,13,46,36,383
0.00300,3.11500,-4.91750,0.00000,-0.01013,0.01025,-0.98747,2023,6,12,13,46,36,394
0.00310,2.88750,-4.46250,0.00000,-0.01000,0.01000,-0.98844,2023,6,12,13,46,36,405
0.00320,3.13250,-4.48000,0.00000,-0.01025,0.01110,-0.98759,2023,6,12,13,46,36,416
0.00330,3.01000,-4.46250,0.00000,-0.00854,0.01110,-0.98503,2023,6,12,13,46,36,427
0.00340,3.02750,-4.69000,0.00000,-0.00927,0.01183,-0.98564,2023,6,12,13,46,36,438
0.00350,3.11500,-4.65500,0.00000,-0.00817,0.01110,-0.98783,2023,6,12,13,46,36,449
0.00360,3.06250,-4.53250,0.00000,-0.00988,0.01147,-0.98796,2023,6,12,13,46,36,460
0.00370,3.16750,-4.46250,0.00000,-0.00952,0.01122,-0.98759,2023,6,12,13,46,36,472
0.00380,3.18500,-4.55000,0.00000,-0.01037,0.01061,-0.99186,2023,6,12,13,46,36,483
0.00390,2.99250,-4.39250,0.00000,-0.00830,0.01086,-0.98954,2023,6,12,13,46,36,494
0.00400,2.95750,-4.46250,0.00000,-0.01074,0.01110,-0.98674,2023,6,12,13,46,36,505
0.00410,3.01000,-4.41000,0.00000,-0.01159,0.01049,-0.98747,2023,6,12,13,46,36,516
0.00420,2.95750,-4.44500,0.00000,-0.01244,0.00976,-0.98820,2023,6,12,13,46,36,527
0.00430,3.01000,-4.51500,0.00000,-0.00988,0.01220,-0.98771,2023,6,12,13,46,36,538
0.00440,3.11500,-4.53250,0.00000,-0.01220,0.01049,-0.98698,2023,6,12,13,46,36,549
0.00450,3.16750,-4.58500,0.00000,-0.01074,0.01135,-0.98881,2023,6,12,13,46,36,560
0.00460,3.01000,-4.34000,0.00000,-0.01110,0.00939,-0.98930,2023,6,12,13,46,36,572
0.00470,3.02750,-4.42750,0.00000,-0.01196,0.01196,-0.99076,2023,6,12,13,46,36,583
0.00480,2.99250,-4.53250,0.00000,-0.00793,0.01281,-0.99137,2023,6,12,13,46,36,594
0.00490,3.01000,-4.72500,0.00000,-0.00976,0.01049,-0.98820,2023,6,12,13,46,36,605
0.00500,3.13250,-4.72500,0.00000,-0.01159,0.00976,-0.98747,2023,6,12,13,46,36,616
0.00510,3.15000,-4.49750,0.00000,-0.01305,0.01147,-0.98905,2023,6,12,13,46,36,627
0.00520,2.90500,-4.42750,0.00000,-0.01000,0.01257,-0.99064,2023,6,12,13,46,36,638
0.00530,3.06250,-4.46250,0.00000,-0.00842,0.01159,-0.98857,2023,6,12,13,46,36,649
0.00540,3.13250,-4.76000,0.00000,-0.00976,0.01061,-0.98796,2023,6,12,13,46,36,660
0.00550,3.09750,-4.42750,0.00000,-0.01013,0.01098,-0.99052,2023,6,12,13,46,36,672
0.00560,3.23750,-4.49750,0.00000,-0.01074,0.01281,-0.98686,2023,6,12,13,46,36,683
0.00570,3.15000,-4.56750,0.00000,-0.01025,0.01171,-0.98796,2023,6,12,13,46,36,694
0.00580,3.08000,-4.72500,0.00000,-0.01013,0.01147,-0.99320,2023,6,12,13,46,36,705
0.00590,3.01000,-4.53250,0.00000,-0.00903,0.01086,-0.98698,2023,6,12,13,46,36,716
0.00600,3.25500,-4.62000,0.00000,-0.00903,0.01049,-0.98930,2023,6,12,13,46,36,727
0.00610,3.09750,-4.67250,0.00000,-0.00854,0.01159,-0.98783,2023,6,12,13,46,36,738
0.00620,2.99250,-4.42750,0.00000,-0.01061,0.01086,-0.98637,2023,6,12,13,46,36,749
0.00630,3.23750,-4.60250,0.00000,-0.00964,0.01147,-0.99076,2023,6,12,13,46,36,760
0.00640,3.09750,-4.46250,0.00000,-0.01183,0.01098,-0.98759,2023,6,12,13,46,36,772
0.00650,3.09750,-4.69000,0.00000,-0.00915,0.00927,-0.98771,2023,6,12,13,46,36,783
0.00660,3.01000,-4.77750,0.00000,-0.00952,0.01037,-0.99088,2023,6,12,13,46,36,794
0.00670,3.18500,-4.55000,0.00000,-0.01013,0.01183,-0.98905,2023,6,12,13,46,36,805
0.00680,3.20250,-4.58500,0.00000,-0.01025,0.01147,-0.98832,2023,6,12,13,46,36,816
0.00690,2.92250,-4.62000,0.00000,-0.00939,0.00952,-0.98710,2023,6,12,13,46,36,827
0.00700,3.08000,-4.49750,0.00000,-0.01122,0.01196,-0.98661,2023,6,12,13,46,36,838
0.00710,3.01000,-4.62000,0.00000,-0.00952,0.01061,-0.98613,2023,6,12,13,46,36,849
0.00720,3.06250,-4.53250,0.00000,-0.00988,0.01135,-0.98625,2023,6,12,13,46,36,860
0.00730,3.15000,-4.67250,0.00000,-0.01037,0.00976,-0.98637,2023,6,12,13,46,36,872
0.00740,3.01000,-4.49750,0.00000,-0.00878,0.00964,-0.98857,2023,6,12,13,46,36,883
0.00750,3.11500,-4.51500,0.00000,-0.01183,0.01232,-0.98966,2023,6,12,13,46,36,894
0.00760,3.09750,-4.60250,0.00000,-0.00976,0.01147,-0.98613,2023,6,12,13,46,36,905
0.00770,2.94000,-4.48000,0.00000,-0.01366,0.01220,-0.98576,2023,6,12,13,46,36,916
0.00780,3.04500,-4.58500,0.00000,-0.00988,0.01159,-0.99015,2023,6,12,13,46,36,927
