#2023/06/12 11:34:46
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
0.00000,3.11500,-4.65500,0.00000,0.00159,0.04148,-0.98881,2023,6,12,11,34,46,137
0.00010,3.15000,-4.56750,0.00000,0.00268,0.04538,-0.98796,2023,6,12,11,34,46,148
0.00020,2.99250,-4.48000,0.00000,0.00293,0.04172,-0.98747,2023,6,12,11,34,46,159
0.00030,3.25500,-4.49750,0.00000,0.00244,0.04209,-0.98759,2023,6,12,11,34,46,170
0.00040,2.99250,-4.58500,0.00000,0.00256,0.04270,-0.98771,2023,6,12,11,34,46,181
0.00050,3.22000,-4.53250,0.00000,0.00366,0.04197,-0.99064,2023,6,12,11,34,46,192
0.00060,3.20250,-4.49750,0.00000,0.00293,0.04307,-0.98613,2023,6,12,11,34,46,203
0.00070,3.16750,-4.60250,0.00000,0.00159,0.04282,-0.98552,2023,6,12,11,34,46,214
0.00080,3.16750,-4.65500,0.00000,0.00171,0.04124,-0.98649,2023,6,12,11,34,46,225
0.00090,3.15000,-4.56750,0.00000,0.00476,0.04343,-0.98820,2023,6,12,11,34,46,237
0.00100,2.99250,-4.55000,0.00000,0.00342,0.04319,-0.98820,2023,6,12,11,34,46,248
0.00110,3.13250,-4.44500,0.00000,0.00207,0.03989,-0.98600,2023,6,12,11,34,46,259
0.00120,3.06250,-4.53250,0.00000,0.00281,0.04392,-0.98637,2023,6,12,11,34,46,270
0.00130,3.30750,-4.60250,0.00000,0.00403,0.04380,-0.98930,2023,6,12,11,34,46,281
0.00140,3.22000,-4.60250,0.00000,0.00305,0.04490,-0.98979,2023,6,12,11,34,46,292
0.00150,2.90500,-4.56750,0.00000,0.00207,0.04246,-0.98576,2023,6,12,11,34,46,303
0.00160,3.29000,-4.70750,0.00000,0.00232,0.04209,-0.98783,2023,6,12,11,34,46,314
0.00170,3.09750,-4.58500,0.00000,0.00012,0.04209,-0.98722,2023,6,12,11,34,46,325
0.00180,3.15000,-4.32250,0.00000,0.00329,0.04331,-0.98710,2023,6,12,11,34,46,336
0.00190,3.29000,-4.62000,0.00000,0.00354,0.04221,-0.98747,2023,6,12,11,34,46,348
0.00200,3.09750,-4.58500,0.00000,0.00232,0.04416,-0.98783,2023,6,12,11,34,46,359
0.00210,3.01000,-4.56750,0.00000,0.00268,0.04453,-0.98796,2023,6,12,11,34,46,370
0.00220,3.34250,-4.60250,0.00000,0.00220,0.04307,-0.98857,2023,6,12,11,34,46,381
0.00230,3.20250,-4.51500,0.00000,0.00378,0.04368,-0.98759,2023,6,12,11,34,46,392
0.00240,3.22000,-4.56750,0.00000,0.00293,0.04136,-0.98893,2023,6,12,11,34,46,403
0.00250,3.11500,-4.51500,0.00000,0.00342,0.04319,-0.98796,2023,6,12,11,34,46,414
0.00260,3.20250,-4.55000,0.00000,0.00134,0.04172,-0.98710,2023,6,12,11,34,46,425
0.00270,3.08000,-4.69000,0.00000,0.00439,0.04282,-0.99040,2023,6,12,11,34,46,436
0.00280,2.97500,-4.42750,0.00000,0.00354,0.04355,-0.98674,2023,6,12,11,34,46,448
0.00290,3.22000,-4.42750,0.00000,0.00427,0.04404,-0.98832,2023,6,12,11,34,46,459
0.00300,3.23750,-4.84750,0.00000,0.00415,0.04307,-0.98905,2023,6,12,11,34,46,470
0.00310,3.11500,-4.53250,0.00000,0.00378,0.04294,-0.98515,2023,6,12,11,34,46,481
0.00320,3.30750,-4.48000,0.00000,0.00390,0.04160,-0.98625,2023,6,12,11,34,46,492
0.00330,3.16750,-4.56750,0.00000,0.00329,0.04355,-0.98491,2023,6,12,11,34,46,503
0.00340,3.04500,-4.48000,0.00000,0.00232,0.04185,-0.98844,2023,6,12,11,34,46,514
0.00350,3.13250,-4.53250,0.00000,0.00439,0.04380,-0.98552,2023,6,12,11,34,46,525
0.00360,2.92250,-4.60250,0.00000,0.00317,0.04429,-0.98747,2023,6,12,11,34,46,536
0.00370,3.04500,-4.51500,0.00000,0.00512,0.04282,-0.98698,2023,6,12,11,34,46,548
0.00380,3.08000,-4.65500,0.00000,0.00256,0.04416,-0.98783,2023,6,12,11,34,46,559
0.00390,3.25500,-4.44500,0.00000,0.00403,0.04404,-0.98771,2023,6,12,11,34,46,570
0.00400,3.09750,-4.70750,0.00000,0.00476,0.04294,-0.98661,2023,6,12,11,34,46,581
0.00410,3.15000,-4.69000,0.00000,0.00415,0.04148,-0.98527,2023,6,12,11,34,46,592
0.00420,3.27250,-4.65500,0.00000,0.00171,0.04099,-0.98783,2023,6,12,11,34,46,603
0.00430,3.23750,-4.46250,0.00000,0.00146,0.04319,-0.99076,2023,6,12,11,34,46,614
0.00440,3.16750,-4.46250,0.00000,0.00403,0.04282,-0.98625,2023,6,12,11,34,46,625
0.00450,3.16750,-4.58500,0.00000,0.00268,0.04270,-0.98613,2023,6,12,11,34,46,636
0.00460,3.20250,-4.63750,0.00000,0.00329,0.04368,-0.98954,2023,6,12,11,34,46,648
0.00470,3.16750,-4.62000,0.00000,0.00293,0.04197,-0.98576,2023,6,12,11,34,46,659
0.00480,3.18500,-4.60250,0.00000,0.00061,0.04185,-0.98576,2023,6,12,11,34,46,670
0.00490,3.02750,-4.56750,0.00000,0.00232,0.04185,-0.98771,2023,6,12,11,34,46,681
0.00500,2.85250,-4.41000,0.00000,0.00146,0.04148,-0.98881,2023,6,12,11,34,46,692
0.00510,3.11500,-4.56750,0.00000,0.00207,0.04209,-0.98491,2023,6,12,11,34,46,703
0.00520,3.29000,-4.55000,0.00000,0.00171,0.04246,-0.98869,2023,6,12,11,34,46,714
0.00530,3.04500,-4.67250,0.00000,0.00512,0.04111,-0.98454,2023,6,12,11,34,46,725
0.00540,3.09750,-4.51500,0.00000,0.00451,0.04368,-0.98857,2023,6,12,11,34,46,736
0.00550,3.13250,-4.58500,0.00000,0.00232,0.04294,-0.98722,2023,6,12,11,34,46,748
0.00560,3.06250,-4.44500,0.00000,0.00134,0.04185,-0.99015,2023,6,12,11,34,46,759
0.00570,3.02750,-4.70750,0.00000,0.00244,0.04233,-0.98783,2023,6,12,11,34,46,770
0.00580,3.23750,-4.63750,0.00000,0.00098,0.04307,-0.98686,2023,6,12,11,34,46,781
0.00590,3.09750,-4.51500,0.00000,0.00305,0.04307,-0.98649,2023,6,12,11,34,46,792
0.00600,3.15000,-4.84750,0.00000,0.00244,0.04258,-0.98796,2023,6,12,11,34,46,803
0.00610,3.23750,-4.67250,0.00000,0.00439,0.04197,-0.98637,2023,6,12,11,34,46,814
0.00620,3.22000,-4.56750,0.00000,0.00317,0.04490,-0.98869,2023,6,12,11,34,46,825
0.00630,3.29000,-4.62000,0.00000,0.00305,0.04063,-0.98771,2023,6,12,11,34,46,836
0.00640,3.32500,-4.69000,0.00000,0.00451,0.04270,-0.98686,2023,6,12,11,34,46,848
