#2023/06/12 14:12:50
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
0.00000,3.16750,-4.51500,0.00000,-0.00927,0.01122,-0.98747,2023,6,12,14,12,50,315
0.00010,3.16750,-4.51500,0.00000,-0.00964,0.01232,-0.98918,2023,6,12,14,12,50,326
0.00020,3.29000,-4.84750,0.00000,-0.01135,0.01183,-0.99235,2023,6,12,14,12,50,337
0.00030,3.02750,-4.53250,0.00000,-0.01232,0.01013,-0.98820,2023,6,12,14,12,50,348
0.00040,3.02750,-4.51500,0.00000,-0.01110,0.01098,-0.98893,2023,6,12,14,12,50,359
0.00050,3.27250,-4.69000,0.00000,-0.01000,0.01122,-0.98710,2023,6,12,14,12,50,370
0.00060,3.27250,-4.65500,0.00000,-0.01061,0.01110,-0.99015,2023,6,12,14,12,50,381
0.00070,3.02750,-4.46250,0.00000,-0.01098,0.01147,-0.98820,2023,6,12,14,12,50,392
0.00080,3.23750,-4.67250,0.00000,-0.01110,0.01196,-0.99040,2023,6,12,14,12,50,403
0.00090,3.09750,-4.70750,0.00000,-0.01305,0.01305,-0.98905,2023,6,12,14,12,50,414
0.00100,3.02750,-4.70750,0.00000,-0.00866,0.01281,-0.99064,2023,6,12,14,12,50,426
0.00110,3.23750,-4.62000,0.00000,-0.01147,0.01257,-0.99003,2023,6,12,14,12,50,437
0.00120,3.20250,-4.60250,0.00000,-0.01061,0.01281,-0.98759,2023,6,12,14,12,50,448
0.00130,3.15000,-4.65500,0.00000,-0.00927,0.01000,-0.99003,2023,6,12,14,12,50,459
0.00140,3.11500,-4.69000,0.00000,-0.01257,0.01159,-0.98820,2023,6,12,14,12,50,470
0.00150,3.09750,-4.53250,0.00000,-0.01037,0.01037,-0.98857,2023,6,12,14,12,50,481
0.00160,2.87000,-4.25250,0.00000,-0.01122,0.01208,-0.99186,2023,6,12,14,12,50,492
0.00170,3.13250,-4.69000,0.00000,-0.01281,0.01354,-0.98966,2023,6,12,14,12,50,503
