#2023/06/07 16:29:10
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
45.54240,-0.02975,-0.00910,0.00000,0.03306,0.97783,-0.18873,0.0,2023,6,7,16,29,11,455
45.54250,0.09275,-0.02660,0.00000,0.02916,0.97734,-0.18727,0.0,2023,6,7,16,29,11,466
45.54260,-0.08225,0.30590,0.00000,0.03184,0.97417,-0.18751,0.0,2023,6,7,16,29,11,477
45.54270,-0.06475,-0.00910,0.00000,0.03123,0.97856,-0.18849,0.0,2023,6,7,16,29,11,488
45.54280,0.11025,0.02590,0.00000,0.03172,0.97624,-0.19142,0.0,2023,6,7,16,29,11,499
45.54290,-0.23975,-0.09660,0.00000,0.03221,0.97563,-0.18349,0.0,2023,6,7,16,29,11,510
45.54300,-0.15225,0.00840,0.00000,0.03282,0.97515,-0.18593,0.0,2023,6,7,16,29,11,521
45.54310,-0.09975,0.00840,0.00000,0.03282,0.97502,-0.18788,0.0,2023,6,7,16,29,11,532
45.54320,-0.16975,0.14840,0.00000,0.03318,0.97734,-0.18983,0.0,2023,6,7,16,29,11,543
45.54330,-0.08225,0.02590,0.00000,0.03318,0.97490,-0.18471,0.0,2023,6,7,16,29,11,554
45.54340,-0.01225,-0.07910,0.00000,0.03270,0.97917,-0.18483,0.0,2023,6,7,16,29,11,565
45.54350,-0.20475,0.23590,0.00000,0.03160,0.97722,-0.18495,0.0,2023,6,7,16,29,11,576
45.54360,-0.06475,0.04340,0.00000,0.03331,0.97612,-0.18873,0.0,2023,6,7,16,29,11,587
45.54370,0.19775,0.04340,0.00000,0.03172,0.97637,-0.18642,0.0,2023,6,7,16,29,11,598
45.54380,-0.09975,-0.13160,0.00000,0.03257,0.97771,-0.18861,0.0,2023,6,7,16,29,11,609
45.54390,-0.01225,-0.11410,0.00000,0.03099,0.97771,-0.18642,0.0,2023,6,7,16,29,11,620
45.54400,-0.06475,-0.06160,0.00000,0.03196,0.97502,-0.18715,0.0,2023,6,7,16,29,11,631
45.54410,0.11025,-0.25410,0.00000,0.03343,0.97612,-0.18520,0.0,2023,6,7,16,29,11,642
45.54420,0.07525,0.02590,0.00000,0.03123,0.97734,-0.18764,0.0,2023,6,7,16,29,11,653
45.54430,-0.08225,0.00840,0.00000,0.03343,0.97698,-0.18947,0.0,2023,6,7,16,29,11,664
45.54440,-0.16975,0.04340,0.00000,0.03160,0.97771,-0.18666,0.0,2023,6,7,16,29,11,675
45.54450,-0.04725,-0.00910,0.00000,0.03099,0.97746,-0.18849,0.0,2023,6,7,16,29,11,686
45.54460,0.07525,-0.04410,0.00000,0.03111,0.97649,-0.19081,0.0,2023,6,7,16,29,11,697
45.54470,0.23275,-0.16660,0.00000,0.03135,0.97393,-0.18947,0.0,2023,6,7,16,29,11,708
45.54480,-0.06475,0.13090,0.00000,0.03233,0.97502,-0.18812,0.0,2023,6,7,16,29,11,719
45.54490,-0.09975,0.06090,0.00000,0.03160,0.97612,-0.18812,0.0,2023,6,7,16,29,11,730
45.54500,0.00525,0.11340,0.00000,0.03233,0.97710,-0.18776,0.0,2023,6,7,16,29,11,741
45.54510,-0.09975,-0.09660,0.00000,0.03123,0.97698,-0.18739,0.0,2023,6,7,16,29,11,752
45.54520,0.14525,0.09590,0.00000,0.03062,0.97881,-0.18910,0.0,2023,6,7,16,29,11,763
45.54530,0.02275,-0.16660,0.00000,0.02867,0.97539,-0.18678,0.0,2023,6,7,16,29,11,774
45.54540,0.07525,-0.23660,0.00000,0.03245,0.97649,-0.18800,0.0,2023,6,7,16,29,11,785
45.54550,-0.08225,0.23590,0.00000,0.03148,0.97795,-0.18947,0.0,2023,6,7,16,29,11,796
45.54560,-0.04725,0.27090,0.00000,0.03135,0.97600,-0.18690,0.0,2023,6,7,16,29,11,807
45.54570,0.11025,0.07840,0.00000,0.03221,0.97673,-0.18593,0.0,2023,6,7,16,29,11,818
45.54580,0.04025,-0.09660,0.00000,0.02977,0.97917,-0.18861,0.0,2023,6,7,16,29,11,829
45.54590,0.02275,-0.04410,0.00000,0.03111,0.97734,-0.18849,0.0,2023,6,7,16,29,11,840
45.54600,0.05775,-0.04410,0.00000,0.03050,0.97771,-0.18703,0.0,2023,6,7,16,29,11,851
45.54610,-0.02975,0.00840,0.00000,0.03026,0.97746,-0.18642,0.0,2023,6,7,16,29,11,862
45.54620,0.09275,-0.09660,0.00000,0.03172,0.97807,-0.18837,0.0,2023,6,7,16,29,11,873
45.54630,0.18025,-0.18410,0.00000,0.03233,0.97466,-0.18971,0.0,2023,6,7,16,29,11,884
45.54640,-0.04725,-0.06160,0.00000,0.03135,0.97612,-0.18483,0.0,2023,6,7,16,29,11,895
45.54650,-0.32725,-0.09660,0.00000,0.03221,0.97649,-0.18788,0.0,2023,6,7,16,29,11,906
45.54660,0.12775,-0.04410,0.00000,0.03257,0.97515,-0.19032,0.0,2023,6,7,16,29,11,917
45.54670,-0.13475,-0.14910,0.00000,0.02989,0.97710,-0.18825,0.0,2023,6,7,16,29,11,928
45.54680,0.02275,-0.20160,0.00000,0.03111,0.97368,-0.18910,0.0,2023,6,7,16,29,11,939
45.54690,0.11025,-0.09660,0.00000,0.03062,0.97722,-0.18934,0.0,2023,6,7,16,29,11,950
45.54700,0.00525,-0.00910,0.00000,0.03123,0.97527,-0.18751,0.0,2023,6,7,16,29,11,961
45.54710,-0.13475,0.07840,0.00000,0.03038,0.97600,-0.18715,0.0,2023,6,7,16,29,12,2
45.54720,-0.04725,-0.07910,0.00000,0.03282,0.97795,-0.18715,0.0,2023,6,7,16,29,12,13
45.54730,-0.08225,0.30590,0.00000,0.03123,0.97722,-0.18825,0.0,2023,6,7,16,29,12,24
45.54740,0.16275,-0.20160,0.00000,0.02989,0.97612,-0.18837,0.0,2023,6,7,16,29,12,35
45.54750,-0.15225,-0.04410,0.00000,0.03123,0.97893,-0.18739,0.0,2023,6,7,16,29,12,46
45.54760,0.00525,-0.09660,0.00000,0.03001,0.97783,-0.18934,0.0,2023,6,7,16,29,12,57
45.54770,-0.04725,-0.02660,0.00000,0.03233,0.97710,-0.18751,0.0,2023,6,7,16,29,12,68
45.54780,-0.01225,0.00840,0.00000,0.03184,0.97637,-0.18776,0.0,2023,6,7,16,29,12,79
45.54790,-0.06475,0.02590,0.00000,0.03343,0.97820,-0.18825,0.0,2023,6,7,16,29,12,90
45.54800,-0.09975,-0.20160,0.00000,0.03245,0.97588,-0.18837,0.0,2023,6,7,16,29,12,101
45.54810,0.11025,-0.13160,0.00000,0.03184,0.97417,-0.18886,0.0,2023,6,7,16,29,12,112
45.54820,-0.02975,-0.06160,0.00000,0.03062,0.97685,-0.18703,0.0,2023,6,7,16,29,12,123
45.54830,0.02275,-0.16660,0.00000,0.03245,0.97893,-0.18776,0.0,2023,6,7,16,29,12,134
45.54840,0.02275,0.00840,0.00000,0.03306,0.97356,-0.18642,0.0,2023,6,7,16,29,12,145
45.54850,-0.02975,0.07840,0.00000,0.03074,0.97612,-0.18703,0.0,2023,6,7,16,29,12,156
45.54860,0.12775,-0.13160,0.00000,0.03013,0.97539,-0.18642,0.0,2023,6,7,16,29,12,167
45.54870,0.12775,0.13090,0.00000,0.03355,0.97600,-0.18947,0.0,2023,6,7,16,29,12,178
45.54880,-0.16975,-0.00910,0.00000,0.03160,0.97576,-0.18617,0.0,2023,6,7,16,29,12,189
