#2023/06/07 16:33:34
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
45.99020,-0.07857,0.12092,0.00000,0.03001,0.97649,-0.19081,0.0,2023,6,7,16,33,35,596
45.99030,0.00893,-0.00158,0.00000,0.03074,0.97783,-0.19093,0.0,2023,6,7,16,33,35,607
45.99040,0.07893,-0.07158,0.00000,0.03099,0.97466,-0.18934,0.0,2023,6,7,16,33,35,618
45.99050,0.16643,-0.01908,0.00000,0.03087,0.97563,-0.19117,0.0,2023,6,7,16,33,35,629
45.99060,0.11393,-0.03658,0.00000,0.02940,0.97588,-0.19130,0.0,2023,6,7,16,33,35,640
45.99070,-0.00857,-0.07158,0.00000,0.02940,0.97551,-0.19166,0.0,2023,6,7,16,33,35,652
45.99080,0.06143,-0.19408,0.00000,0.03148,0.97637,-0.18898,0.0,2023,6,7,16,33,35,663
45.99090,-0.02607,-0.08908,0.00000,0.03294,0.97624,-0.18776,0.0,2023,6,7,16,33,35,674
45.99100,-0.16607,0.08592,0.00000,0.03074,0.97588,-0.19117,0.0,2023,6,7,16,33,35,685
45.99110,-0.13107,-0.12408,0.00000,0.03026,0.97393,-0.19093,0.0,2023,6,7,16,33,35,696
45.99120,-0.18357,0.06842,0.00000,0.03026,0.97576,-0.19252,0.0,2023,6,7,16,33,35,708
45.99130,-0.20107,-0.15908,0.00000,0.02940,0.97771,-0.19252,0.0,2023,6,7,16,33,35,719
45.99140,0.04393,0.13842,0.00000,0.03123,0.97478,-0.19117,0.0,2023,6,7,16,33,35,730
45.99150,-0.13107,-0.10658,0.00000,0.03123,0.97649,-0.18983,0.0,2023,6,7,16,33,35,741
45.99160,-0.25357,0.01592,0.00000,0.03135,0.97673,-0.18995,0.0,2023,6,7,16,33,35,752
45.99170,0.00893,0.17342,0.00000,0.02904,0.97868,-0.19276,0.0,2023,6,7,16,33,35,764
45.99180,0.02643,-0.28158,0.00000,0.03135,0.97710,-0.18959,0.0,2023,6,7,16,33,35,775
45.99190,0.00893,-0.10658,0.00000,0.03087,0.97515,-0.19008,0.0,2023,6,7,16,33,35,786
45.99200,-0.06107,-0.07158,0.00000,0.02940,0.97759,-0.19081,0.0,2023,6,7,16,33,35,797
45.99210,0.20143,-0.00158,0.00000,0.02989,0.97441,-0.19142,0.0,2023,6,7,16,33,35,808
45.99220,0.00893,0.12092,0.00000,0.02977,0.97588,-0.19105,0.0,2023,6,7,16,33,35,820
45.99230,0.02643,-0.12408,0.00000,0.02867,0.97539,-0.18861,0.0,2023,6,7,16,33,35,831
45.99240,0.13143,-0.00158,0.00000,0.02965,0.97673,-0.18995,0.0,2023,6,7,16,33,35,842
45.99250,0.09643,-0.03658,0.00000,0.03001,0.97380,-0.18812,0.0,2023,6,7,16,33,35,853
45.99260,0.02643,0.01592,0.00000,0.03233,0.97441,-0.18983,0.0,2023,6,7,16,33,35,864
45.99270,0.06143,-0.08908,0.00000,0.03013,0.97746,-0.19142,0.0,2023,6,7,16,33,35,876
45.99280,-0.09607,0.06842,0.00000,0.03148,0.97807,-0.19130,0.0,2023,6,7,16,33,35,887
45.99290,-0.04357,-0.07158,0.00000,0.02940,0.97478,-0.19020,0.0,2023,6,7,16,33,35,898
45.99300,-0.11357,0.27842,0.00000,0.03135,0.97637,-0.18995,0.0,2023,6,7,16,33,35,909
45.99310,0.09643,-0.31658,0.00000,0.03172,0.97576,-0.19081,0.0,2023,6,7,16,33,35,920
45.99320,-0.09607,-0.01908,0.00000,0.03123,0.97502,-0.19020,0.0,2023,6,7,16,33,35,932
45.99330,0.11393,0.13842,0.00000,0.02904,0.97856,-0.18690,0.0,2023,6,7,16,33,35,943
45.99340,-0.02607,-0.07158,0.00000,0.03184,0.97454,-0.18934,0.0,2023,6,7,16,33,35,954
45.99350,0.11393,-0.03658,0.00000,0.03343,0.97783,-0.19142,0.0,2023,6,7,16,33,35,965
45.99360,-0.06107,0.03342,0.00000,0.03331,0.97759,-0.19252,0.0,2023,6,7,16,33,35,976
45.99370,-0.00857,0.20842,0.00000,0.03026,0.97746,-0.19117,0.0,2023,6,7,16,33,36,8
45.99380,0.11393,-0.17658,0.00000,0.03001,0.97673,-0.19105,0.0,2023,6,7,16,33,36,19
45.99390,0.20143,-0.03658,0.00000,0.03013,0.97917,-0.18910,0.0,2023,6,7,16,33,36,30
45.99400,-0.07857,-0.10658,0.00000,0.02904,0.97588,-0.19020,0.0,2023,6,7,16,33,36,41
45.99410,0.06143,0.10342,0.00000,0.03148,0.97600,-0.18947,0.0,2023,6,7,16,33,36,52
45.99420,0.13143,-0.07158,0.00000,0.02867,0.97515,-0.19239,0.0,2023,6,7,16,33,36,64
45.99430,-0.02607,0.01592,0.00000,0.03160,0.97502,-0.18898,0.0,2023,6,7,16,33,36,75
45.99440,0.18393,0.12092,0.00000,0.03087,0.97466,-0.19105,0.0,2023,6,7,16,33,36,86
45.99450,0.02643,0.08592,0.00000,0.03233,0.97576,-0.19069,0.0,2023,6,7,16,33,36,97
45.99460,-0.16607,-0.10658,0.00000,0.03148,0.97637,-0.19130,0.0,2023,6,7,16,33,36,108
45.99470,-0.02607,-0.07158,0.00000,0.02977,0.97612,-0.19154,0.0,2023,6,7,16,33,36,120
45.99480,0.07893,-0.01908,0.00000,0.03062,0.97515,-0.19093,0.0,2023,6,7,16,33,36,131
45.99490,-0.06107,-0.08908,0.00000,0.03026,0.97844,-0.19398,0.0,2023,6,7,16,33,36,142
45.99500,-0.07857,-0.08908,0.00000,0.03026,0.97539,-0.19130,0.0,2023,6,7,16,33,36,153
45.99510,-0.02607,0.06842,0.00000,0.03233,0.97600,-0.18983,0.0,2023,6,7,16,33,36,164
45.99520,-0.21857,-0.14158,0.00000,0.02879,0.97222,-0.19276,0.0,2023,6,7,16,33,36,176
45.99530,-0.02607,0.10342,0.00000,0.02952,0.97429,-0.18983,0.0,2023,6,7,16,33,36,187
45.99540,0.09643,0.01592,0.00000,0.02916,0.97649,-0.19410,0.0,2023,6,7,16,33,36,198
45.99550,-0.23607,0.06842,0.00000,0.02916,0.97588,-0.19032,0.0,2023,6,7,16,33,36,209
45.99560,-0.18357,-0.22908,0.00000,0.03123,0.97576,-0.18971,0.0,2023,6,7,16,33,36,220
45.99570,-0.04357,-0.03658,0.00000,0.02952,0.97673,-0.19227,0.0,2023,6,7,16,33,36,232
45.99580,0.04393,-0.12408,0.00000,0.03099,0.97356,-0.19215,0.0,2023,6,7,16,33,36,243
45.99590,0.20143,-0.21158,0.00000,0.03087,0.97673,-0.19227,0.0,2023,6,7,16,33,36,254
45.99600,0.14893,0.01592,0.00000,0.03270,0.97649,-0.18886,0.0,2023,6,7,16,33,36,265
45.99610,-0.06107,0.01592,0.00000,0.03001,0.97454,-0.19252,0.0,2023,6,7,16,33,36,276
45.99620,-0.06107,0.08592,0.00000,0.03099,0.97356,-0.18983,0.0,2023,6,7,16,33,36,288
45.99630,-0.07857,0.10342,0.00000,0.03050,0.97527,-0.18995,0.0,2023,6,7,16,33,36,299
45.99640,0.04393,-0.12408,0.00000,0.03001,0.97929,-0.19032,0.0,2023,6,7,16,33,36,310
45.99650,0.02643,-0.08908,0.00000,0.03038,0.97637,-0.19227,0.0,2023,6,7,16,33,36,321
45.99660,-0.00857,-0.10658,0.00000,0.03331,0.97649,-0.18812,0.0,2023,6,7,16,33,36,332
45.99670,-0.13107,-0.10658,0.00000,0.03209,0.97612,-0.19252,0.0,2023,6,7,16,33,36,344
45.99680,0.16643,-0.12408,0.00000,0.03331,0.97624,-0.18983,0.0,2023,6,7,16,33,36,355
45.99690,-0.11357,0.20842,0.00000,0.03099,0.97759,-0.19117,0.0,2023,6,7,16,33,36,366
45.99700,-0.04357,-0.15908,0.00000,0.02952,0.97576,-0.19252,0.0,2023,6,7,16,33,36,377
45.99710,0.02643,-0.00158,0.00000,0.02965,0.97844,-0.19166,0.0,2023,6,7,16,33,36,388
45.99720,0.06143,0.06842,0.00000,0.02879,0.97539,-0.19252,0.0,2023,6,7,16,33,36,400
45.99730,0.20143,-0.00158,0.00000,0.02855,0.97405,-0.19056,0.0,2023,6,7,16,33,36,411
45.99740,0.09643,-0.08908,0.00000,0.03087,0.97539,-0.19191,0.0,2023,6,7,16,33,36,422
45.99750,0.02643,0.13842,0.00000,0.03294,0.97576,-0.19154,0.0,2023,6,7,16,33,36,433
45.99760,0.07893,-0.15908,0.00000,0.03355,0.97393,-0.18825,0.0,2023,6,7,16,33,36,444
45.99770,-0.16607,0.08592,0.00000,0.03062,0.97698,-0.19215,0.0,2023,6,7,16,33,36,456
45.99780,-0.20107,-0.07158,0.00000,0.03013,0.97722,-0.19044,0.0,2023,6,7,16,33,36,467
45.99790,0.13143,-0.03658,0.00000,0.02965,0.97527,-0.19130,0.0,2023,6,7,16,33,36,478
45.99800,-0.02607,0.08592,0.00000,0.03062,0.97527,-0.18886,0.0,2023,6,7,16,33,36,489
45.99810,-0.11357,0.13842,0.00000,0.03001,0.97624,-0.19056,0.0,2023,6,7,16,33,36,500
45.99820,0.11393,-0.03658,0.00000,0.03026,0.97637,-0.18947,0.0,2023,6,7,16,33,36,512
45.99830,0.04393,0.13842,0.00000,0.03172,0.97454,-0.19154,0.0,2023,6,7,16,33,36,523
45.99840,0.00893,-0.03658,0.00000,0.03135,0.97685,-0.18959,0.0,2023,6,7,16,33,36,534
45.99850,0.11393,0.13842,0.00000,0.02977,0.97771,-0.18983,0.0,2023,6,7,16,33,36,545
45.99860,0.06143,0.17342,0.00000,0.03026,0.97527,-0.19032,0.0,2023,6,7,16,33,36,556
45.99870,-0.07857,0.06842,0.00000,0.03099,0.97637,-0.18886,0.0,2023,6,7,16,33,36,568
45.99880,0.04393,0.05092,0.00000,0.02721,0.97551,-0.19056,0.0,2023,6,7,16,33,36,579
45.99890,0.06143,0.01592,0.00000,0.02806,0.97820,-0.19056,0.0,2023,6,7,16,33,36,590
