#2023/06/07 13:52:40
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
39.96040,-0.12915,0.05460,0.00000,0.03428,0.98100,-0.16006,0.0,2023,6,7,13,52,41,640
39.96050,0.06335,-0.05040,0.00000,0.03331,0.98137,-0.16067,0.0,2023,6,7,13,52,41,650
39.96060,0.02835,0.03710,0.00000,0.03367,0.98039,-0.15994,0.0,2023,6,7,13,52,41,660
39.96070,0.02835,-0.10290,0.00000,0.03196,0.98186,-0.16043,0.0,2023,6,7,13,52,41,670
39.96080,0.16835,-0.05040,0.00000,0.03111,0.98015,-0.15787,0.0,2023,6,7,13,52,41,680
39.96090,0.32585,-0.24290,0.00000,0.03196,0.98076,-0.16165,0.0,2023,6,7,13,52,41,690
39.96100,0.06335,-0.08540,0.00000,0.03575,0.97942,-0.16104,0.0,2023,6,7,13,52,41,700
39.96110,0.02835,-0.13790,0.00000,0.03367,0.97966,-0.15982,0.0,2023,6,7,13,52,41,710
39.96120,0.08085,0.17710,0.00000,0.03343,0.98588,-0.15909,0.0,2023,6,7,13,52,41,720
39.96130,0.16835,-0.05040,0.00000,0.03379,0.98100,-0.16019,0.0,2023,6,7,13,52,41,730
39.96140,-0.04165,-0.06790,0.00000,0.03172,0.98161,-0.16104,0.0,2023,6,7,13,52,41,740
39.96150,-0.12915,0.07210,0.00000,0.02891,0.98405,-0.16116,0.0,2023,6,7,13,52,41,750
39.96160,0.02835,-0.03290,0.00000,0.03172,0.98039,-0.15958,0.0,2023,6,7,13,52,41,760
39.96170,0.16835,-0.10290,0.00000,0.03514,0.98271,-0.15799,0.0,2023,6,7,13,52,41,770
39.96180,-0.02415,0.00210,0.00000,0.03355,0.98076,-0.15775,0.0,2023,6,7,13,52,41,780
39.96190,0.02835,-0.10290,0.00000,0.03697,0.98173,-0.15787,0.0,2023,6,7,13,52,41,790
39.96200,-0.05915,-0.06790,0.00000,0.03514,0.97978,-0.15982,0.0,2023,6,7,13,52,41,800
39.96210,0.23835,0.03710,0.00000,0.03196,0.98112,-0.16226,0.0,2023,6,7,13,52,41,810
39.96220,-0.11165,0.10710,0.00000,0.03099,0.98100,-0.16153,0.0,2023,6,7,13,52,41,820
39.96230,-0.00665,-0.01540,0.00000,0.03099,0.98161,-0.15897,0.0,2023,6,7,13,52,41,830
39.96240,-0.04165,0.05460,0.00000,0.03233,0.98137,-0.15860,0.0,2023,6,7,13,52,41,840
39.96250,-0.02415,0.22960,0.00000,0.03514,0.98112,-0.15860,0.0,2023,6,7,13,52,41,850
39.96260,0.11585,-0.17290,0.00000,0.03562,0.98076,-0.16104,0.0,2023,6,7,13,52,41,860
39.96270,0.08085,-0.01540,0.00000,0.03526,0.98125,-0.16067,0.0,2023,6,7,13,52,41,870
39.96280,-0.25165,-0.06790,0.00000,0.03550,0.97990,-0.16165,0.0,2023,6,7,13,52,41,880
39.96290,0.08085,-0.08540,0.00000,0.03331,0.98003,-0.15848,0.0,2023,6,7,13,52,41,890
39.96300,0.01085,0.17710,0.00000,0.03148,0.98137,-0.16031,0.0,2023,6,7,13,52,41,900
39.96310,-0.00665,0.00210,0.00000,0.03111,0.98417,-0.15872,0.0,2023,6,7,13,52,41,910
39.96320,-0.00665,0.26460,0.00000,0.03245,0.98149,-0.15921,0.0,2023,6,7,13,52,41,920
