#2023/06/07 17:28:16
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
49.98410,0.09135,-0.03920,0.00000,0.03123,0.97673,-0.18910,0.0,2023,6,7,17,28,17,96
49.98420,0.07385,0.10080,0.00000,0.03062,0.97649,-0.18873,0.0,2023,6,7,17,28,17,107
49.98430,-0.11865,0.06580,0.00000,0.03074,0.97771,-0.18922,0.0,2023,6,7,17,28,17,118
49.98440,0.03885,-0.02170,0.00000,0.03135,0.97698,-0.18690,0.0,2023,6,7,17,28,17,129
49.98450,-0.08365,-0.10920,0.00000,0.03148,0.97332,-0.18690,0.0,2023,6,7,17,28,17,140
49.98460,-0.24115,0.22330,0.00000,0.03294,0.97673,-0.19008,0.0,2023,6,7,17,28,17,151
49.98470,0.03885,-0.12670,0.00000,0.03013,0.97734,-0.19093,0.0,2023,6,7,17,28,17,162
49.98480,0.21385,-0.00420,0.00000,0.03111,0.97685,-0.18861,0.0,2023,6,7,17,28,17,173
49.98490,-0.08365,-0.00420,0.00000,0.03099,0.97466,-0.18983,0.0,2023,6,7,17,28,17,184
49.98500,0.05635,0.06580,0.00000,0.03282,0.97515,-0.18837,0.0,2023,6,7,17,28,17,195
49.98510,-0.06615,0.15330,0.00000,0.03087,0.97710,-0.18922,0.0,2023,6,7,17,28,17,207
49.98520,-0.20615,0.22330,0.00000,0.03050,0.97271,-0.18959,0.0,2023,6,7,17,28,17,218
49.98530,0.16135,-0.00420,0.00000,0.03257,0.97600,-0.18873,0.0,2023,6,7,17,28,17,229
49.98540,-0.04865,-0.07420,0.00000,0.03160,0.97795,-0.18886,0.0,2023,6,7,17,28,17,240
49.98550,-0.08365,-0.03920,0.00000,0.03282,0.97685,-0.18886,0.0,2023,6,7,17,28,17,251
49.98560,-0.08365,-0.02170,0.00000,0.02952,0.97746,-0.18910,0.0,2023,6,7,17,28,17,262
49.98570,0.00385,-0.03920,0.00000,0.03099,0.97637,-0.18910,0.0,2023,6,7,17,28,17,273
49.98580,-0.11865,-0.30170,0.00000,0.02989,0.97685,-0.18703,0.0,2023,6,7,17,28,17,284
49.98590,-0.11865,0.11830,0.00000,0.03257,0.97771,-0.18861,0.0,2023,6,7,17,28,17,295
49.98600,0.17885,0.17080,0.00000,0.03257,0.97771,-0.18947,0.0,2023,6,7,17,28,17,306
49.98610,-0.01365,-0.10920,0.00000,0.03209,0.97649,-0.18947,0.0,2023,6,7,17,28,17,318
49.98620,0.19635,-0.12670,0.00000,0.03245,0.97807,-0.18910,0.0,2023,6,7,17,28,17,329
49.98630,0.09135,-0.09170,0.00000,0.03196,0.97612,-0.18983,0.0,2023,6,7,17,28,17,340
49.98640,0.16135,0.15330,0.00000,0.03062,0.97563,-0.18812,0.0,2023,6,7,17,28,17,351
49.98650,-0.11865,-0.00420,0.00000,0.03245,0.97856,-0.18861,0.0,2023,6,7,17,28,17,362
49.98660,-0.06615,0.04830,0.00000,0.03074,0.97820,-0.18934,0.0,2023,6,7,17,28,17,373
49.98670,-0.11865,0.13580,0.00000,0.03099,0.97600,-0.19008,0.0,2023,6,7,17,28,17,384
49.98680,0.03885,0.03080,0.00000,0.03294,0.97624,-0.18910,0.0,2023,6,7,17,28,17,395
49.98690,0.03885,0.01330,0.00000,0.02977,0.97661,-0.19166,0.0,2023,6,7,17,28,17,406
49.98700,0.16135,-0.10920,0.00000,0.03099,0.97795,-0.19130,0.0,2023,6,7,17,28,17,417
49.98710,-0.18865,-0.10920,0.00000,0.02940,0.97478,-0.18825,0.0,2023,6,7,17,28,17,429
49.98720,0.02135,-0.00420,0.00000,0.03123,0.97563,-0.18703,0.0,2023,6,7,17,28,17,440
49.98730,0.09135,-0.02170,0.00000,0.03160,0.97576,-0.18629,0.0,2023,6,7,17,28,17,451
49.98740,-0.17115,0.11830,0.00000,0.03074,0.97832,-0.18849,0.0,2023,6,7,17,28,17,462
49.98750,-0.10115,-0.05670,0.00000,0.03087,0.97771,-0.18800,0.0,2023,6,7,17,28,17,473
49.98760,0.19635,-0.00420,0.00000,0.03245,0.97649,-0.18678,0.0,2023,6,7,17,28,17,484
49.98770,-0.15365,-0.12670,0.00000,0.03123,0.97698,-0.18654,0.0,2023,6,7,17,28,17,495
49.98780,0.14385,0.11830,0.00000,0.02952,0.97771,-0.19191,0.0,2023,6,7,17,28,17,506
49.98790,0.07385,0.01330,0.00000,0.03184,0.97698,-0.18910,0.0,2023,6,7,17,28,17,517
49.98800,0.00385,0.27580,0.00000,0.02989,0.97685,-0.18703,0.0,2023,6,7,17,28,17,528
49.98810,0.07385,0.01330,0.00000,0.03196,0.97685,-0.18812,0.0,2023,6,7,17,28,17,540
49.98820,0.12635,-0.00420,0.00000,0.03038,0.97722,-0.18739,0.0,2023,6,7,17,28,17,551
49.98830,0.19635,0.10080,0.00000,0.03013,0.97429,-0.18812,0.0,2023,6,7,17,28,17,562
49.98840,-0.03115,-0.07420,0.00000,0.03013,0.97429,-0.18812,0.0,2023,6,7,17,28,17,573
49.98850,-0.10115,-0.02170,0.00000,0.03196,0.97759,-0.18861,0.0,2023,6,7,17,28,17,584
49.98860,0.16135,-0.21420,0.00000,0.02965,0.97734,-0.18959,0.0,2023,6,7,17,28,17,595
49.98870,0.02135,-0.03920,0.00000,0.03087,0.97844,-0.19069,0.0,2023,6,7,17,28,17,606
49.98880,-0.08365,0.25830,0.00000,0.03196,0.97771,-0.19044,0.0,2023,6,7,17,28,17,617
49.98890,0.17885,-0.03920,0.00000,0.03135,0.97795,-0.18739,0.0,2023,6,7,17,28,17,628
49.98900,-0.15365,-0.07420,0.00000,0.03196,0.97454,-0.18800,0.0,2023,6,7,17,28,17,639
49.98910,-0.03115,0.06580,0.00000,0.03196,0.97612,-0.18715,0.0,2023,6,7,17,28,17,651
49.98920,0.03885,0.04830,0.00000,0.03087,0.97539,-0.18983,0.0,2023,6,7,17,28,17,662
49.98930,-0.08365,-0.00420,0.00000,0.02977,0.97661,-0.18788,0.0,2023,6,7,17,28,17,673
49.98940,-0.06615,-0.05670,0.00000,0.03257,0.97502,-0.18959,0.0,2023,6,7,17,28,17,684
