#2023/06/07 16:14:14
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
45.04260,-0.09835,-0.04148,0.00000,0.03026,0.97441,-0.19056,0.0,2023,6,7,16,14,15,989
45.04270,0.00665,-0.04148,0.00000,0.03087,0.97637,-0.18715,0.0,2023,6,7,16,14,15,8
45.04280,0.04165,0.15102,0.00000,0.03123,0.97710,-0.18776,0.0,2023,6,7,16,14,15,27
45.04290,0.09415,-0.26898,0.00000,0.03123,0.97490,-0.18934,0.0,2023,6,7,16,14,15,46
45.04300,-0.06335,-0.12898,0.00000,0.03062,0.97746,-0.18873,0.0,2023,6,7,16,14,15,65
45.04310,0.11165,-0.05898,0.00000,0.02916,0.97771,-0.18739,0.0,2023,6,7,16,14,15,84
45.04320,-0.15085,-0.05898,0.00000,0.02940,0.97588,-0.18642,0.0,2023,6,7,16,14,15,103
45.04330,0.09415,0.02852,0.00000,0.02891,0.97649,-0.18849,0.0,2023,6,7,16,14,15,122
45.04340,0.02415,0.06352,0.00000,0.03184,0.97698,-0.18959,0.0,2023,6,7,16,14,15,141
45.04350,-0.13335,0.23852,0.00000,0.03392,0.97637,-0.18886,0.0,2023,6,7,16,14,15,160
45.04360,-0.09835,0.18602,0.00000,0.03050,0.97600,-0.19008,0.0,2023,6,7,16,14,15,178
45.04370,-0.09835,0.15102,0.00000,0.03392,0.97527,-0.18459,0.0,2023,6,7,16,14,15,197
45.04380,-0.16835,0.27352,0.00000,0.03087,0.97563,-0.18751,0.0,2023,6,7,16,14,15,216
45.04390,-0.04585,-0.09398,0.00000,0.03026,0.97795,-0.18715,0.0,2023,6,7,16,14,15,235
45.04400,0.04165,0.04602,0.00000,0.03062,0.97649,-0.18861,0.0,2023,6,7,16,14,15,254
45.04410,0.00665,0.08102,0.00000,0.03074,0.97466,-0.18947,0.0,2023,6,7,16,14,15,273
45.04420,-0.06335,0.06352,0.00000,0.03209,0.97466,-0.18764,0.0,2023,6,7,16,14,15,292
45.04430,0.11165,0.13352,0.00000,0.03050,0.97478,-0.18605,0.0,2023,6,7,16,14,15,311
45.04440,0.11165,0.13352,0.00000,0.02952,0.97893,-0.18751,0.0,2023,6,7,16,14,15,330
45.04450,0.00665,0.32602,0.00000,0.03160,0.97624,-0.18934,0.0,2023,6,7,16,14,15,349
45.04460,0.04165,-0.12898,0.00000,0.02952,0.97832,-0.18324,0.0,2023,6,7,16,14,15,367
45.04470,-0.15085,-0.11148,0.00000,0.03111,0.97722,-0.18800,0.0,2023,6,7,16,14,15,386
45.04480,0.05915,0.02852,0.00000,0.03087,0.97515,-0.18776,0.0,2023,6,7,16,14,15,405
45.04490,0.05915,-0.09398,0.00000,0.02940,0.97624,-0.18739,0.0,2023,6,7,16,14,15,424
45.04500,-0.18585,0.04602,0.00000,0.03294,0.97710,-0.18568,0.0,2023,6,7,16,14,15,443
45.04510,-0.02835,-0.09398,0.00000,0.03050,0.97600,-0.18739,0.0,2023,6,7,16,14,15,462
45.04520,0.18165,0.01102,0.00000,0.02989,0.97844,-0.18471,0.0,2023,6,7,16,14,15,481
45.04530,0.07665,-0.12898,0.00000,0.03099,0.97698,-0.18703,0.0,2023,6,7,16,14,15,500
45.04540,-0.11585,-0.00648,0.00000,0.02904,0.97698,-0.18910,0.0,2023,6,7,16,14,15,519
45.04550,0.02415,0.01102,0.00000,0.03123,0.97527,-0.18629,0.0,2023,6,7,16,14,15,538
45.04560,-0.01085,0.11602,0.00000,0.02928,0.97698,-0.18983,0.0,2023,6,7,16,14,15,556
45.04570,-0.08085,-0.05898,0.00000,0.02952,0.97685,-0.18886,0.0,2023,6,7,16,14,15,575
45.04580,0.11165,-0.23398,0.00000,0.03123,0.97722,-0.18910,0.0,2023,6,7,16,14,15,594
45.04590,0.14665,0.06352,0.00000,0.03184,0.97502,-0.18666,0.0,2023,6,7,16,14,15,613
45.04600,-0.04585,-0.04148,0.00000,0.03013,0.97490,-0.18959,0.0,2023,6,7,16,14,15,632
45.04610,-0.09835,-0.14648,0.00000,0.03050,0.97637,-0.18995,0.0,2023,6,7,16,14,15,651
45.04620,0.12915,-0.12898,0.00000,0.02891,0.97478,-0.18800,0.0,2023,6,7,16,14,15,670
45.04630,-0.13335,0.08102,0.00000,0.03196,0.97722,-0.18947,0.0,2023,6,7,16,14,16,9
45.04640,-0.06335,0.15102,0.00000,0.03099,0.97807,-0.18678,0.0,2023,6,7,16,14,16,28
45.04650,0.09415,0.04602,0.00000,0.03099,0.97624,-0.18666,0.0,2023,6,7,16,14,16,47
45.04660,0.09415,-0.04148,0.00000,0.03026,0.97588,-0.18934,0.0,2023,6,7,16,14,16,65
45.04670,-0.06335,-0.04148,0.00000,0.03050,0.97820,-0.18739,0.0,2023,6,7,16,14,16,84
45.04680,0.05915,0.01102,0.00000,0.03160,0.97649,-0.18812,0.0,2023,6,7,16,14,16,103
45.04690,0.12915,-0.23398,0.00000,0.03062,0.97746,-0.18617,0.0,2023,6,7,16,14,16,122
45.04700,0.05915,-0.00648,0.00000,0.03087,0.97710,-0.18751,0.0,2023,6,7,16,14,16,141
45.04710,-0.16835,0.09852,0.00000,0.03074,0.97551,-0.18849,0.0,2023,6,7,16,14,16,160
45.04720,0.02415,0.02852,0.00000,0.03074,0.97600,-0.18678,0.0,2023,6,7,16,14,16,179
45.04730,-0.09835,-0.11148,0.00000,0.02977,0.97649,-0.18995,0.0,2023,6,7,16,14,16,198
45.04740,0.00665,0.01102,0.00000,0.02891,0.97661,-0.18971,0.0,2023,6,7,16,14,16,217
45.04750,0.07665,0.29102,0.00000,0.02952,0.97551,-0.18739,0.0,2023,6,7,16,14,16,236
45.04760,0.04165,0.06352,0.00000,0.03379,0.97600,-0.18703,0.0,2023,6,7,16,14,16,254
45.04770,0.11165,-0.02398,0.00000,0.02904,0.97978,-0.18873,0.0,2023,6,7,16,14,16,273
45.04780,0.04165,-0.07648,0.00000,0.03331,0.97624,-0.18703,0.0,2023,6,7,16,14,16,292
45.04790,-0.02835,-0.00648,0.00000,0.03111,0.97539,-0.18922,0.0,2023,6,7,16,14,16,311
45.04800,0.14665,-0.21648,0.00000,0.03184,0.97795,-0.18837,0.0,2023,6,7,16,14,16,330
45.04810,-0.16835,0.04602,0.00000,0.03123,0.97685,-0.18703,0.0,2023,6,7,16,14,16,349
45.04820,0.16415,-0.26898,0.00000,0.03087,0.97649,-0.18837,0.0,2023,6,7,16,14,16,368
45.04830,-0.02835,-0.16398,0.00000,0.03184,0.97515,-0.18849,0.0,2023,6,7,16,14,16,387
45.04840,-0.22085,-0.11148,0.00000,0.03148,0.97661,-0.18568,0.0,2023,6,7,16,14,16,406
45.04850,0.00665,-0.04148,0.00000,0.03135,0.97551,-0.18788,0.0,2023,6,7,16,14,16,425
45.04860,0.23415,-0.02398,0.00000,0.03038,0.97649,-0.18861,0.0,2023,6,7,16,14,16,443
45.04870,0.00665,-0.07648,0.00000,0.02855,0.97466,-0.18764,0.0,2023,6,7,16,14,16,462
45.04880,0.00665,-0.12898,0.00000,0.03074,0.97539,-0.18520,0.0,2023,6,7,16,14,16,481
45.04890,-0.04585,-0.11148,0.00000,0.02965,0.97807,-0.19008,0.0,2023,6,7,16,14,16,500
45.04900,0.16415,-0.11148,0.00000,0.03123,0.97466,-0.18849,0.0,2023,6,7,16,14,16,519
45.04910,-0.01085,-0.02398,0.00000,0.03123,0.97661,-0.18861,0.0,2023,6,7,16,14,16,538
45.04920,0.04165,-0.00648,0.00000,0.03221,0.97795,-0.18739,0.0,2023,6,7,16,14,16,557
45.04930,0.04165,-0.07648,0.00000,0.02904,0.97588,-0.18776,0.0,2023,6,7,16,14,16,576
45.04940,0.09415,-0.00648,0.00000,0.03111,0.97637,-0.18983,0.0,2023,6,7,16,14,16,595
45.04950,-0.04585,-0.30398,0.00000,0.03099,0.97576,-0.18544,0.0,2023,6,7,16,14,16,614
45.04960,-0.16835,0.02852,0.00000,0.03184,0.97332,-0.18605,0.0,2023,6,7,16,14,16,632
45.04970,0.00665,-0.19898,0.00000,0.03111,0.97661,-0.18837,0.0,2023,6,7,16,14,16,651
45.04980,0.18165,-0.02398,0.00000,0.03074,0.97588,-0.18788,0.0,2023,6,7,16,14,16,670
45.04990,-0.06335,0.16852,0.00000,0.03099,0.97722,-0.18654,0.0,2023,6,7,16,14,16,689
45.05000,-0.01085,0.06352,0.00000,0.03257,0.97844,-0.18922,0.0,2023,6,7,16,14,16,708
45.05010,-0.11585,-0.00648,0.00000,0.03123,0.97661,-0.18971,0.0,2023,6,7,16,14,16,727
45.05020,0.00665,-0.00648,0.00000,0.03184,0.97673,-0.18690,0.0,2023,6,7,16,14,16,746
45.05030,-0.11585,-0.11148,0.00000,0.03294,0.97441,-0.18703,0.0,2023,6,7,16,14,16,765
45.05040,-0.09835,-0.07648,0.00000,0.03087,0.97722,-0.18739,0.0,2023,6,7,16,14,16,784
45.05050,0.07665,0.04602,0.00000,0.03087,0.97551,-0.18886,0.0,2023,6,7,16,14,16,803
45.05060,0.16415,-0.07648,0.00000,0.03160,0.97624,-0.18654,0.0,2023,6,7,16,14,16,821
45.05070,-0.25585,0.09852,0.00000,0.03026,0.97551,-0.18849,0.0,2023,6,7,16,14,16,840
45.05080,0.16415,0.11602,0.00000,0.03184,0.97454,-0.18678,0.0,2023,6,7,16,14,16,859
45.05090,0.05915,-0.05898,0.00000,0.03257,0.97405,-0.18983,0.0,2023,6,7,16,14,16,878
45.05100,0.05915,0.09852,0.00000,0.03123,0.97917,-0.18654,0.0,2023,6,7,16,14,16,897
45.05110,0.05915,-0.21648,0.00000,0.03160,0.97527,-0.18629,0.0,2023,6,7,16,14,16,916
