#2023/06/07 18:05:22
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
50.92840,0.03150,-0.00630,0.00000,0.02965,0.97698,-0.18837,0.0,2023,6,7,18,5,23,118
50.92850,-0.02100,0.11620,0.00000,0.03038,0.97771,-0.18886,0.0,2023,6,7,18,5,23,129
50.92860,0.04900,0.08120,0.00000,0.03087,0.97698,-0.19020,0.0,2023,6,7,18,5,23,141
50.92870,0.13650,-0.00630,0.00000,0.03282,0.97637,-0.18873,0.0,2023,6,7,18,5,23,152
50.92880,0.03150,-0.05880,0.00000,0.03465,0.97673,-0.18873,0.0,2023,6,7,18,5,23,163
50.92890,0.10150,-0.00630,0.00000,0.03001,0.97551,-0.19056,0.0,2023,6,7,18,5,23,174
50.92900,-0.05600,-0.00630,0.00000,0.03221,0.97722,-0.18983,0.0,2023,6,7,18,5,23,186
50.92910,-0.03850,-0.05880,0.00000,0.03306,0.97624,-0.18971,0.0,2023,6,7,18,5,23,197
50.92920,-0.00350,0.04620,0.00000,0.03221,0.97673,-0.19130,0.0,2023,6,7,18,5,23,208
50.92930,-0.14350,0.08120,0.00000,0.03233,0.97685,-0.18873,0.0,2023,6,7,18,5,23,219
50.92940,0.08400,-0.02380,0.00000,0.03233,0.97722,-0.18678,0.0,2023,6,7,18,5,23,230
50.92950,0.08400,-0.21630,0.00000,0.03062,0.97893,-0.18886,0.0,2023,6,7,18,5,23,242
50.92960,0.03150,-0.00630,0.00000,0.03026,0.97710,-0.19056,0.0,2023,6,7,18,5,23,253
50.92970,0.20650,-0.09380,0.00000,0.03038,0.97783,-0.19142,0.0,2023,6,7,18,5,23,264
50.92980,0.06650,-0.09380,0.00000,0.03111,0.97942,-0.19020,0.0,2023,6,7,18,5,23,275
50.92990,-0.19600,-0.11130,0.00000,0.03172,0.97661,-0.18898,0.0,2023,6,7,18,5,23,287
50.93000,0.06650,-0.19880,0.00000,0.02989,0.97868,-0.18825,0.0,2023,6,7,18,5,23,298
50.93010,-0.00350,0.02870,0.00000,0.03184,0.97771,-0.19020,0.0,2023,6,7,18,5,23,309
50.93020,0.01400,0.09870,0.00000,0.03062,0.97673,-0.19215,0.0,2023,6,7,18,5,23,320
50.93030,0.03150,0.11620,0.00000,0.02977,0.97637,-0.18898,0.0,2023,6,7,18,5,23,332
50.93040,0.17150,0.04620,0.00000,0.02928,0.97515,-0.18934,0.0,2023,6,7,18,5,23,343
50.93050,0.03150,0.13370,0.00000,0.03062,0.97881,-0.19215,0.0,2023,6,7,18,5,23,354
50.93060,-0.16100,0.09870,0.00000,0.03087,0.97820,-0.18800,0.0,2023,6,7,18,5,23,365
50.93070,-0.00350,0.08120,0.00000,0.03221,0.97820,-0.18837,0.0,2023,6,7,18,5,23,377
50.93080,0.11900,-0.26880,0.00000,0.03148,0.97673,-0.19056,0.0,2023,6,7,18,5,23,388
50.93090,0.04900,-0.04130,0.00000,0.03245,0.97441,-0.18764,0.0,2023,6,7,18,5,23,399
50.93100,0.13650,-0.04130,0.00000,0.03087,0.97478,-0.18861,0.0,2023,6,7,18,5,23,410
50.93110,-0.10850,0.06370,0.00000,0.03318,0.97698,-0.19056,0.0,2023,6,7,18,5,23,421
50.93120,0.10150,-0.11130,0.00000,0.02952,0.97600,-0.18898,0.0,2023,6,7,18,5,23,433
50.93130,0.10150,0.06370,0.00000,0.03245,0.97624,-0.18886,0.0,2023,6,7,18,5,23,444
50.93140,-0.23100,-0.16380,0.00000,0.03233,0.97771,-0.19093,0.0,2023,6,7,18,5,23,455
50.93150,-0.00350,-0.07630,0.00000,0.03099,0.97515,-0.18812,0.0,2023,6,7,18,5,23,466
50.93160,0.01400,-0.18130,0.00000,0.03123,0.97551,-0.18861,0.0,2023,6,7,18,5,23,478
50.93170,0.01400,0.02870,0.00000,0.03245,0.97637,-0.19117,0.0,2023,6,7,18,5,23,489
50.93180,0.11900,0.09870,0.00000,0.03355,0.97637,-0.19032,0.0,2023,6,7,18,5,23,500
50.93190,0.04900,-0.04130,0.00000,0.03074,0.97734,-0.18812,0.0,2023,6,7,18,5,23,511
50.93200,0.13650,-0.04130,0.00000,0.03099,0.97698,-0.18886,0.0,2023,6,7,18,5,23,523
50.93210,0.13650,-0.07630,0.00000,0.03245,0.97466,-0.19020,0.0,2023,6,7,18,5,23,534
50.93220,-0.10850,-0.04130,0.00000,0.03184,0.97551,-0.19166,0.0,2023,6,7,18,5,23,545
50.93230,-0.03850,-0.28630,0.00000,0.03111,0.97637,-0.18837,0.0,2023,6,7,18,5,23,556
50.93240,0.22400,-0.02380,0.00000,0.03123,0.97576,-0.18995,0.0,2023,6,7,18,5,23,568
50.93250,-0.07350,0.02870,0.00000,0.03172,0.97893,-0.19069,0.0,2023,6,7,18,5,23,579
50.93260,0.03150,-0.05880,0.00000,0.02989,0.97637,-0.18873,0.0,2023,6,7,18,5,23,590
50.93270,-0.03850,-0.16380,0.00000,0.03172,0.97881,-0.18873,0.0,2023,6,7,18,5,23,601
50.93280,-0.02100,0.02870,0.00000,0.02806,0.97539,-0.18849,0.0,2023,6,7,18,5,23,612
50.93290,-0.19600,0.16870,0.00000,0.03160,0.97868,-0.18703,0.0,2023,6,7,18,5,23,624
50.93300,0.04900,-0.14630,0.00000,0.03013,0.97820,-0.19044,0.0,2023,6,7,18,5,23,635
50.93310,-0.05600,-0.09380,0.00000,0.02867,0.97624,-0.18837,0.0,2023,6,7,18,5,23,646
50.93320,-0.03850,-0.11130,0.00000,0.03160,0.97490,-0.18812,0.0,2023,6,7,18,5,23,657
50.93330,-0.12600,-0.05880,0.00000,0.03111,0.97600,-0.18739,0.0,2023,6,7,18,5,23,669
50.93340,0.04900,-0.04130,0.00000,0.03245,0.97624,-0.19105,0.0,2023,6,7,18,5,23,680
50.93350,0.11900,-0.07630,0.00000,0.03087,0.97807,-0.18898,0.0,2023,6,7,18,5,23,691
50.93360,0.03150,-0.11130,0.00000,0.03172,0.97515,-0.18922,0.0,2023,6,7,18,5,23,702
50.93370,0.01400,0.08120,0.00000,0.03465,0.97637,-0.19166,0.0,2023,6,7,18,5,23,714
50.93380,-0.02100,-0.04130,0.00000,0.03135,0.97637,-0.18898,0.0,2023,6,7,18,5,23,725
50.93390,-0.14350,0.01120,0.00000,0.03294,0.97673,-0.18898,0.0,2023,6,7,18,5,23,736
50.93400,0.25900,0.01120,0.00000,0.03270,0.97588,-0.19142,0.0,2023,6,7,18,5,23,747
50.93410,-0.19600,-0.12880,0.00000,0.03270,0.97417,-0.18800,0.0,2023,6,7,18,5,23,759
50.93420,-0.02100,0.08120,0.00000,0.02989,0.97624,-0.19081,0.0,2023,6,7,18,5,23,770
50.93430,-0.02100,-0.12880,0.00000,0.03099,0.97563,-0.19008,0.0,2023,6,7,18,5,23,781
50.93440,-0.09100,0.01120,0.00000,0.03135,0.97539,-0.18947,0.0,2023,6,7,18,5,23,792
50.93450,0.08400,0.06370,0.00000,0.03148,0.97734,-0.19288,0.0,2023,6,7,18,5,23,803
50.93460,-0.14350,0.04620,0.00000,0.03123,0.97466,-0.18959,0.0,2023,6,7,18,5,23,815
50.93470,-0.16100,-0.11130,0.00000,0.02879,0.97441,-0.18873,0.0,2023,6,7,18,5,23,826
50.93480,-0.14350,0.09870,0.00000,0.03160,0.97588,-0.19093,0.0,2023,6,7,18,5,23,837
50.93490,-0.10850,0.04620,0.00000,0.03209,0.97698,-0.18971,0.0,2023,6,7,18,5,23,848
50.93500,-0.05600,-0.16380,0.00000,0.03318,0.97588,-0.18971,0.0,2023,6,7,18,5,23,860
50.93510,0.10150,-0.00630,0.00000,0.02867,0.97429,-0.18995,0.0,2023,6,7,18,5,23,871
50.93520,0.03150,-0.21630,0.00000,0.03123,0.97966,-0.19020,0.0,2023,6,7,18,5,23,882
50.93530,-0.10850,0.44870,0.00000,0.03013,0.97698,-0.18959,0.0,2023,6,7,18,5,23,893
50.93540,-0.10850,-0.12880,0.00000,0.03184,0.97710,-0.18812,0.0,2023,6,7,18,5,23,905
50.93550,-0.10850,0.22120,0.00000,0.03074,0.97795,-0.18934,0.0,2023,6,7,18,5,23,916
50.93560,-0.00350,0.01120,0.00000,0.03160,0.97393,-0.18898,0.0,2023,6,7,18,5,23,927
50.93570,-0.00350,-0.07630,0.00000,0.03038,0.97795,-0.18971,0.0,2023,6,7,18,5,23,938
50.93580,0.06650,-0.02380,0.00000,0.03074,0.97734,-0.19166,0.0,2023,6,7,18,5,23,950
50.93590,-0.16100,0.25620,0.00000,0.03196,0.97624,-0.19191,0.0,2023,6,7,18,5,23,961
50.93600,-0.02100,0.01120,0.00000,0.03087,0.97783,-0.19142,0.0,2023,6,7,18,5,23,972
50.93610,-0.23100,0.06370,0.00000,0.03038,0.97685,-0.18898,0.0,2023,6,7,18,5,23,983
50.93620,-0.07350,0.02870,0.00000,0.03221,0.97600,-0.19154,0.0,2023,6,7,18,5,23,995
50.93630,0.03150,0.20370,0.00000,0.03209,0.97576,-0.18959,0.0,2023,6,7,18,5,23,6
50.93640,-0.03850,0.01120,0.00000,0.03160,0.97893,-0.19008,0.0,2023,6,7,18,5,24,7
50.93650,-0.07350,-0.21630,0.00000,0.03196,0.97527,-0.19130,0.0,2023,6,7,18,5,24,18
50.93660,0.15400,0.16870,0.00000,0.03001,0.97527,-0.19191,0.0,2023,6,7,18,5,24,29
50.93670,-0.21350,0.13370,0.00000,0.03245,0.97454,-0.19166,0.0,2023,6,7,18,5,24,41
50.93680,0.04900,-0.05880,0.00000,0.03148,0.97661,-0.19105,0.0,2023,6,7,18,5,24,52
50.93690,0.03150,-0.00630,0.00000,0.03245,0.97698,-0.18934,0.0,2023,6,7,18,5,24,63
50.93700,-0.10850,0.06370,0.00000,0.03013,0.97624,-0.19056,0.0,2023,6,7,18,5,24,74
50.93710,-0.03850,0.06370,0.00000,0.03196,0.97673,-0.19276,0.0,2023,6,7,18,5,24,86
