#2023/06/07 16:54:11
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
47.30060,-0.07857,0.01278,0.00000,0.03160,0.97466,-0.18947,0.0,2023,6,7,16,54,12,962
47.30070,0.13143,0.08278,0.00000,0.02989,0.97966,-0.18995,0.0,2023,6,7,16,54,12,972
47.30080,0.00893,0.15278,0.00000,0.03026,0.97685,-0.18898,0.0,2023,6,7,16,54,12,983
47.30090,0.18393,-0.07472,0.00000,0.03196,0.97637,-0.19032,0.0,2023,6,7,16,54,12,993
47.30100,0.18393,0.08278,0.00000,0.03135,0.97539,-0.18910,0.0,2023,6,7,16,54,12,1004
47.30110,0.04393,-0.05722,0.00000,0.03074,0.97466,-0.18837,0.0,2023,6,7,16,54,12,1014
47.30120,0.04393,-0.09222,0.00000,0.03196,0.97942,-0.18825,0.0,2023,6,7,16,54,12,1025
47.30130,-0.09607,0.11778,0.00000,0.03233,0.97685,-0.18971,0.0,2023,6,7,16,54,12,1035
47.30140,-0.07857,0.03028,0.00000,0.03343,0.97807,-0.18788,0.0,2023,6,7,16,54,12,1046
47.30150,0.06143,0.01278,0.00000,0.03172,0.97710,-0.18947,0.0,2023,6,7,16,54,12,1056
47.30160,0.06143,0.10028,0.00000,0.03184,0.97624,-0.18837,0.0,2023,6,7,16,54,12,1067
47.30170,0.20143,-0.26722,0.00000,0.03062,0.97722,-0.18776,0.0,2023,6,7,16,54,12,1077
47.30180,0.06143,-0.17972,0.00000,0.03050,0.97746,-0.18873,0.0,2023,6,7,16,54,12,1088
47.30190,-0.28857,0.10028,0.00000,0.03135,0.97673,-0.18703,0.0,2023,6,7,16,54,12,1098
47.30200,-0.09607,0.22278,0.00000,0.03062,0.97868,-0.18788,0.0,2023,6,7,16,54,12,1109
47.30210,0.06143,0.03028,0.00000,0.03062,0.97466,-0.18971,0.0,2023,6,7,16,54,12,1119
47.30220,-0.00857,0.06528,0.00000,0.03111,0.97832,-0.18727,0.0,2023,6,7,16,54,12,1130
47.30230,0.06143,-0.02222,0.00000,0.03160,0.97661,-0.18751,0.0,2023,6,7,16,54,12,1140
