#2023/06/07 16:09:08
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
44.81080,0.11865,0.03010,0.00000,0.03257,0.97893,-0.18349,0.0,2023,6,7,16,9,9,2
44.81090,0.01365,-0.05740,0.00000,0.02989,0.97771,-0.18532,0.0,2023,6,7,16,9,9,2
44.81100,-0.28385,-0.00490,0.00000,0.03160,0.97478,-0.18568,0.0,2023,6,7,16,9,9,2
44.81110,0.01365,0.10010,0.00000,0.02952,0.97661,-0.18556,0.0,2023,6,7,16,9,9,2
44.81120,-0.03885,-0.03990,0.00000,0.03062,0.97807,-0.18739,0.0,2023,6,7,16,9,9,2
44.81130,0.01365,0.10010,0.00000,0.03135,0.97612,-0.18300,0.0,2023,6,7,16,9,9,2
44.81140,0.11865,-0.23240,0.00000,0.03160,0.97820,-0.18617,0.0,2023,6,7,16,9,9,2
44.81150,-0.00385,-0.12740,0.00000,0.03148,0.97600,-0.18520,0.0,2023,6,7,16,9,9,2
44.81160,-0.02135,-0.03990,0.00000,0.03196,0.97893,-0.18422,0.0,2023,6,7,16,9,9,2
44.81170,0.01365,0.01260,0.00000,0.03135,0.97624,-0.18556,0.0,2023,6,7,16,9,9,2
44.81180,0.11865,-0.16240,0.00000,0.03270,0.97600,-0.18825,0.0,2023,6,7,16,9,9,2
44.81190,-0.14385,-0.02240,0.00000,0.03318,0.97893,-0.18751,0.0,2023,6,7,16,9,9,2
44.81200,0.03115,-0.12740,0.00000,0.03135,0.97820,-0.18727,0.0,2023,6,7,16,9,9,2
44.81210,-0.16135,0.06510,0.00000,0.03306,0.97478,-0.18739,0.0,2023,6,7,16,9,9,2
44.81220,-0.09135,-0.19740,0.00000,0.03013,0.97759,-0.18532,0.0,2023,6,7,16,9,9,2
44.81230,-0.02135,-0.00490,0.00000,0.03001,0.97588,-0.18617,0.0,2023,6,7,16,9,9,2
44.81240,0.17115,-0.07490,0.00000,0.03099,0.97710,-0.18495,0.0,2023,6,7,16,9,9,2
44.81250,0.03115,-0.03990,0.00000,0.03038,0.97698,-0.18654,0.0,2023,6,7,16,9,9,2
44.81260,0.04865,0.10010,0.00000,0.02928,0.97637,-0.18434,0.0,2023,6,7,16,9,9,2
44.81270,-0.00385,-0.10990,0.00000,0.03318,0.97563,-0.18605,0.0,2023,6,7,16,9,9,2
44.81280,0.20615,-0.10990,0.00000,0.03050,0.97746,-0.18715,0.0,2023,6,7,16,9,9,2
44.81290,-0.05635,0.01260,0.00000,0.03172,0.97588,-0.18410,0.0,2023,6,7,16,9,9,2
44.81300,-0.07385,-0.19740,0.00000,0.03184,0.97588,-0.18605,0.0,2023,6,7,16,9,9,2
44.81310,0.08365,0.17010,0.00000,0.03355,0.97490,-0.18361,0.0,2023,6,7,16,9,9,2
44.81320,-0.09135,-0.03990,0.00000,0.03148,0.97527,-0.18642,0.0,2023,6,7,16,9,9,2
44.81330,0.04865,0.08260,0.00000,0.03099,0.97759,-0.18800,0.0,2023,6,7,16,9,9,2
44.81340,-0.00385,-0.02240,0.00000,0.03026,0.97807,-0.18544,0.0,2023,6,7,16,9,9,2
44.81350,-0.19635,0.17010,0.00000,0.03148,0.97515,-0.18629,0.0,2023,6,7,16,9,9,2
44.81360,-0.00385,-0.02240,0.00000,0.03050,0.97502,-0.18995,0.0,2023,6,7,16,9,9,2
44.81370,-0.00385,0.11760,0.00000,0.03221,0.97807,-0.18654,0.0,2023,6,7,16,9,9,2
44.81380,-0.10885,0.04760,0.00000,0.03318,0.97502,-0.18812,0.0,2023,6,7,16,9,9,2
44.81390,-0.09135,0.08260,0.00000,0.03221,0.97698,-0.18629,0.0,2023,6,7,16,9,9,2
