#2023/06/07 17:51:36
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
50.80850,0.09818,0.03377,0.00000,0.03062,0.97624,-0.18922,0.0,2023,6,7,17,51,36,262
50.80860,-0.07682,-0.01873,0.00000,0.02940,0.97539,-0.18849,0.0,2023,6,7,17,51,36,273
50.80870,-0.16432,0.08627,0.00000,0.03196,0.97661,-0.18764,0.0,2023,6,7,17,51,36,284
50.80880,0.06318,-0.03623,0.00000,0.03184,0.97771,-0.19105,0.0,2023,6,7,17,51,37,5
50.80890,0.06318,0.03377,0.00000,0.03221,0.97307,-0.18934,0.0,2023,6,7,17,51,37,16
50.80900,-0.00682,-0.15873,0.00000,0.03026,0.97820,-0.19166,0.0,2023,6,7,17,51,37,27
50.80910,0.36068,-0.15873,0.00000,0.03099,0.97710,-0.19410,0.0,2023,6,7,17,51,37,38
50.80920,0.08068,-0.08873,0.00000,0.03196,0.97466,-0.19154,0.0,2023,6,7,17,51,37,49
50.80930,-0.02432,-0.01873,0.00000,0.03111,0.97563,-0.18715,0.0,2023,6,7,17,51,37,60
50.80940,0.15068,-0.10623,0.00000,0.03172,0.97612,-0.19020,0.0,2023,6,7,17,51,37,72
50.80950,0.09818,-0.28123,0.00000,0.03440,0.97734,-0.18593,0.0,2023,6,7,17,51,37,83
50.80960,-0.09432,0.01627,0.00000,0.03184,0.97746,-0.18959,0.0,2023,6,7,17,51,37,94
50.80970,-0.05932,0.08627,0.00000,0.03160,0.97429,-0.19044,0.0,2023,6,7,17,51,37,105
50.80980,-0.11182,-0.17623,0.00000,0.03306,0.97441,-0.18873,0.0,2023,6,7,17,51,37,116
50.80990,-0.04182,-0.07123,0.00000,0.03026,0.97441,-0.18873,0.0,2023,6,7,17,51,37,127
50.81000,0.04568,0.05127,0.00000,0.03160,0.97527,-0.18947,0.0,2023,6,7,17,51,37,138
50.81010,0.04568,0.26127,0.00000,0.03172,0.97685,-0.18983,0.0,2023,6,7,17,51,37,149
50.81020,-0.04182,-0.05373,0.00000,0.03221,0.97759,-0.18898,0.0,2023,6,7,17,51,37,160
50.81030,-0.11182,0.05127,0.00000,0.03233,0.97588,-0.18898,0.0,2023,6,7,17,51,37,172
50.81040,-0.18182,-0.01873,0.00000,0.03257,0.97612,-0.18837,0.0,2023,6,7,17,51,37,183
50.81050,-0.11182,0.03377,0.00000,0.03221,0.97429,-0.18825,0.0,2023,6,7,17,51,37,194
50.81060,0.08068,0.05127,0.00000,0.03209,0.97466,-0.18849,0.0,2023,6,7,17,51,37,205
50.81070,-0.12932,0.19127,0.00000,0.03196,0.97527,-0.19117,0.0,2023,6,7,17,51,37,216
50.81080,0.06318,-0.03623,0.00000,0.03135,0.97539,-0.19020,0.0,2023,6,7,17,51,37,227
50.81090,0.08068,0.10377,0.00000,0.03038,0.97844,-0.19044,0.0,2023,6,7,17,51,37,238
50.81100,-0.21682,-0.01873,0.00000,0.03245,0.97637,-0.18751,0.0,2023,6,7,17,51,37,249
50.81110,-0.18182,0.22627,0.00000,0.03087,0.97356,-0.18739,0.0,2023,6,7,17,51,37,260
50.81120,0.01068,-0.08873,0.00000,0.03318,0.97661,-0.18800,0.0,2023,6,7,17,51,37,272
