#2023/06/07 15:25:15
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
42.60330,-0.03710,0.00298,0.00000,0.03282,0.97527,-0.18739,0.0,2023,6,7,15,25,16,890
42.60340,0.13790,0.09048,0.00000,0.03074,0.97417,-0.18898,0.0,2023,6,7,15,25,16,900
42.60350,-0.15960,-0.01452,0.00000,0.03160,0.97746,-0.18861,0.0,2023,6,7,15,25,16,910
42.60360,0.03290,0.00298,0.00000,0.02855,0.97576,-0.18666,0.0,2023,6,7,15,25,16,920
42.60370,0.08540,-0.15452,0.00000,0.03135,0.97588,-0.18593,0.0,2023,6,7,15,25,16,930
42.60380,-0.03710,0.14298,0.00000,0.03209,0.97698,-0.18568,0.0,2023,6,7,15,25,16,940
42.60390,0.10290,-0.20702,0.00000,0.03331,0.97393,-0.18690,0.0,2023,6,7,15,25,16,950
42.60400,0.06790,-0.10202,0.00000,0.03050,0.97661,-0.18764,0.0,2023,6,7,15,25,16,960
42.60410,-0.05460,0.09048,0.00000,0.03233,0.97307,-0.18812,0.0,2023,6,7,15,25,16,970
42.60420,0.10290,0.10798,0.00000,0.03074,0.97527,-0.18971,0.0,2023,6,7,15,25,16,980
42.60430,-0.08960,0.05548,0.00000,0.03038,0.97515,-0.19081,0.0,2023,6,7,15,25,16,990
42.60440,0.01540,0.02048,0.00000,0.03160,0.97624,-0.18605,0.0,2023,6,7,15,25,16,0
42.60450,-0.10710,0.12548,0.00000,0.03148,0.97551,-0.18861,0.0,2023,6,7,15,25,16,10
42.60460,0.12040,-0.06702,0.00000,0.03099,0.97576,-0.18812,0.0,2023,6,7,15,25,16,20
42.60470,-0.22960,0.14298,0.00000,0.02977,0.97661,-0.18825,0.0,2023,6,7,15,25,16,30
42.60480,-0.05460,0.12548,0.00000,0.03221,0.97759,-0.18727,0.0,2023,6,7,15,25,16,40
42.60490,0.12040,-0.11952,0.00000,0.03245,0.97722,-0.18605,0.0,2023,6,7,15,25,16,50
42.60500,0.17290,-0.25952,0.00000,0.03123,0.97441,-0.18568,0.0,2023,6,7,15,25,16,60
42.60510,-0.17710,0.00298,0.00000,0.03148,0.97478,-0.18910,0.0,2023,6,7,15,25,16,70
42.60520,0.12040,0.02048,0.00000,0.03257,0.97515,-0.18959,0.0,2023,6,7,15,25,16,80
42.60530,-0.08960,-0.01452,0.00000,0.03172,0.97539,-0.18642,0.0,2023,6,7,15,25,16,90
42.60540,-0.05460,-0.01452,0.00000,0.02965,0.97588,-0.18776,0.0,2023,6,7,15,25,16,100
42.60550,0.10290,-0.01452,0.00000,0.03306,0.97685,-0.18654,0.0,2023,6,7,15,25,16,110
42.60560,0.01540,0.07298,0.00000,0.03111,0.97563,-0.18971,0.0,2023,6,7,15,25,16,120
42.60570,-0.00210,-0.04952,0.00000,0.03062,0.97527,-0.18922,0.0,2023,6,7,15,25,16,130
42.60580,-0.22960,0.26548,0.00000,0.03050,0.97307,-0.18861,0.0,2023,6,7,15,25,16,140
42.60590,0.06790,0.07298,0.00000,0.03062,0.97746,-0.18654,0.0,2023,6,7,15,25,16,150
42.60600,-0.08960,0.00298,0.00000,0.03087,0.97868,-0.18605,0.0,2023,6,7,15,25,16,160
42.60610,-0.07210,0.30048,0.00000,0.03160,0.97539,-0.18800,0.0,2023,6,7,15,25,16,170
42.60620,0.08540,-0.03202,0.00000,0.03123,0.97637,-0.18642,0.0,2023,6,7,15,25,16,180
42.60630,0.06790,0.03798,0.00000,0.03209,0.97368,-0.18812,0.0,2023,6,7,15,25,16,190
42.60640,0.01540,0.00298,0.00000,0.03099,0.97563,-0.18849,0.0,2023,6,7,15,25,16,200
42.60650,0.17290,-0.04952,0.00000,0.03062,0.97600,-0.18812,0.0,2023,6,7,15,25,16,210
42.60660,0.05040,0.00298,0.00000,0.03379,0.97673,-0.18873,0.0,2023,6,7,15,25,16,220
42.60670,-0.01960,-0.03202,0.00000,0.03074,0.97661,-0.18861,0.0,2023,6,7,15,25,16,230
42.60680,-0.03710,-0.18952,0.00000,0.03221,0.97624,-0.18873,0.0,2023,6,7,15,25,16,240
42.60690,0.03290,0.02048,0.00000,0.03184,0.97661,-0.18837,0.0,2023,6,7,15,25,16,250
42.60700,-0.15960,0.09048,0.00000,0.03221,0.97600,-0.18739,0.0,2023,6,7,15,25,16,260
42.60710,0.20790,-0.27702,0.00000,0.02989,0.97759,-0.18910,0.0,2023,6,7,15,25,16,270
42.60720,0.06790,-0.11952,0.00000,0.03001,0.97551,-0.18898,0.0,2023,6,7,15,25,16,280
42.60730,-0.12460,0.03798,0.00000,0.03270,0.97576,-0.18910,0.0,2023,6,7,15,25,16,290
42.60740,-0.15960,-0.03202,0.00000,0.03087,0.97722,-0.18898,0.0,2023,6,7,15,25,16,300
42.60750,0.06790,0.09048,0.00000,0.03318,0.97478,-0.18947,0.0,2023,6,7,15,25,16,310
42.60760,0.10290,-0.01452,0.00000,0.03135,0.97429,-0.18861,0.0,2023,6,7,15,25,16,320
42.60770,0.08540,-0.03202,0.00000,0.03074,0.97344,-0.18800,0.0,2023,6,7,15,25,16,330
42.60780,0.05040,0.03798,0.00000,0.03367,0.97588,-0.18934,0.0,2023,6,7,15,25,16,340
42.60790,0.10290,-0.04952,0.00000,0.03257,0.97649,-0.18422,0.0,2023,6,7,15,25,16,350
