#2023/06/07 17:48:13
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
50.40980,-0.01680,0.10832,0.00000,0.03087,0.97405,-0.19105,0.0,2023,6,7,17,48,14,417
50.40990,0.03570,0.16082,0.00000,0.03245,0.97576,-0.18861,0.0,2023,6,7,17,48,14,428
50.41000,-0.03430,0.03832,0.00000,0.03062,0.97612,-0.18983,0.0,2023,6,7,17,48,14,440
50.41010,0.05320,-0.04917,0.00000,0.02977,0.97637,-0.18764,0.0,2023,6,7,17,48,14,451
50.41020,0.03570,0.02083,0.00000,0.03135,0.97612,-0.18995,0.0,2023,6,7,17,48,14,463
50.41030,0.03570,-0.04917,0.00000,0.03245,0.97649,-0.19056,0.0,2023,6,7,17,48,14,474
50.41040,0.03570,-0.03167,0.00000,0.02952,0.97844,-0.19239,0.0,2023,6,7,17,48,14,486
50.41050,0.17570,0.07332,0.00000,0.03087,0.97771,-0.18959,0.0,2023,6,7,17,48,14,497
50.41060,0.08820,-0.04917,0.00000,0.03001,0.97710,-0.19020,0.0,2023,6,7,17,48,14,509
50.41070,-0.12180,0.02083,0.00000,0.03221,0.97441,-0.18873,0.0,2023,6,7,17,48,14,520
50.41080,-0.08680,0.14332,0.00000,0.03270,0.97649,-0.18800,0.0,2023,6,7,17,48,14,532
50.41090,0.19320,-0.06668,0.00000,0.02928,0.97637,-0.18983,0.0,2023,6,7,17,48,14,543
50.41100,0.10570,-0.06668,0.00000,0.03209,0.97490,-0.18947,0.0,2023,6,7,17,48,14,555
50.41110,0.17570,-0.36418,0.00000,0.03062,0.97673,-0.18764,0.0,2023,6,7,17,48,14,566
50.41120,0.01820,-0.08418,0.00000,0.03221,0.97600,-0.18959,0.0,2023,6,7,17,48,14,578
50.41130,-0.10430,0.26582,0.00000,0.03196,0.97820,-0.19032,0.0,2023,6,7,17,48,14,589
50.41140,-0.12180,-0.13668,0.00000,0.03172,0.97307,-0.18776,0.0,2023,6,7,17,48,14,601
50.41150,-0.27930,-0.01417,0.00000,0.03099,0.97490,-0.18703,0.0,2023,6,7,17,48,14,612
50.41160,0.05320,-0.08418,0.00000,0.03148,0.97661,-0.18812,0.0,2023,6,7,17,48,14,624
50.41170,0.10570,0.12582,0.00000,0.03172,0.97661,-0.18825,0.0,2023,6,7,17,48,14,635
50.41180,0.07070,-0.01417,0.00000,0.02940,0.97563,-0.19130,0.0,2023,6,7,17,48,14,647
50.41190,-0.05180,0.00333,0.00000,0.03111,0.97649,-0.18861,0.0,2023,6,7,17,48,14,658
50.41200,-0.10430,-0.03167,0.00000,0.02891,0.97637,-0.19056,0.0,2023,6,7,17,48,14,670
50.41210,-0.27930,0.14332,0.00000,0.03209,0.97600,-0.19093,0.0,2023,6,7,17,48,14,681
50.41220,-0.06930,-0.01417,0.00000,0.03038,0.97722,-0.18800,0.0,2023,6,7,17,48,14,693
50.41230,-0.17430,0.21333,0.00000,0.03111,0.97637,-0.19020,0.0,2023,6,7,17,48,14,704
50.41240,0.08820,0.00333,0.00000,0.03172,0.97661,-0.19117,0.0,2023,6,7,17,48,14,716
50.41250,-0.10430,0.07332,0.00000,0.03160,0.97673,-0.19154,0.0,2023,6,7,17,48,14,727
50.41260,-0.17430,0.19583,0.00000,0.03245,0.97661,-0.18690,0.0,2023,6,7,17,48,14,739
50.41270,-0.05180,0.02083,0.00000,0.03038,0.97588,-0.18727,0.0,2023,6,7,17,48,14,750
50.41280,-0.08680,0.00333,0.00000,0.03087,0.97795,-0.18886,0.0,2023,6,7,17,48,14,762
50.41290,-0.10430,0.02083,0.00000,0.03074,0.97405,-0.18812,0.0,2023,6,7,17,48,14,773
50.41300,-0.03430,-0.03167,0.00000,0.03111,0.97551,-0.18654,0.0,2023,6,7,17,48,14,785
50.41310,0.07070,-0.20667,0.00000,0.03294,0.97563,-0.18825,0.0,2023,6,7,17,48,14,796
50.41320,-0.03430,0.17833,0.00000,0.03087,0.97478,-0.19008,0.0,2023,6,7,17,48,14,808
50.41330,-0.05180,-0.10168,0.00000,0.02965,0.97795,-0.18861,0.0,2023,6,7,17,48,14,819
50.41340,-0.01680,0.09082,0.00000,0.02989,0.97539,-0.18873,0.0,2023,6,7,17,48,14,831
50.41350,-0.12180,0.19583,0.00000,0.03074,0.97612,-0.18861,0.0,2023,6,7,17,48,14,842
50.41360,-0.24430,-0.01417,0.00000,0.03038,0.97563,-0.19020,0.0,2023,6,7,17,48,14,854
50.41370,0.03570,-0.10168,0.00000,0.03148,0.97527,-0.19069,0.0,2023,6,7,17,48,14,865
50.41380,0.03570,-0.11918,0.00000,0.03050,0.97417,-0.18886,0.0,2023,6,7,17,48,14,877
50.41390,-0.12180,-0.13668,0.00000,0.03233,0.97685,-0.18873,0.0,2023,6,7,17,48,14,888
50.41400,0.01820,-0.08418,0.00000,0.03074,0.97612,-0.18959,0.0,2023,6,7,17,48,14,900
50.41410,0.14070,-0.06668,0.00000,0.03050,0.97576,-0.19081,0.0,2023,6,7,17,48,14,911
50.41420,-0.08680,-0.01417,0.00000,0.03111,0.97624,-0.18617,0.0,2023,6,7,17,48,14,923
50.41430,-0.12180,0.21333,0.00000,0.03148,0.97637,-0.18825,0.0,2023,6,7,17,48,14,934
50.41440,-0.05180,-0.11918,0.00000,0.03111,0.97624,-0.18934,0.0,2023,6,7,17,48,14,946
50.41450,0.19320,-0.08418,0.00000,0.03001,0.97795,-0.19081,0.0,2023,6,7,17,48,14,957
50.41460,0.01820,-0.01417,0.00000,0.03087,0.97563,-0.18825,0.0,2023,6,7,17,48,14,969
50.41470,-0.24430,0.17833,0.00000,0.03233,0.97722,-0.18520,0.0,2023,6,7,17,48,14,980
50.41480,0.15820,-0.06668,0.00000,0.03099,0.97588,-0.19008,0.0,2023,6,7,17,48,14,992
50.41490,-0.10430,-0.04917,0.00000,0.03026,0.97527,-0.18922,0.0,2023,6,7,17,48,14,3
50.41500,-0.10430,0.16082,0.00000,0.03196,0.97612,-0.18947,0.0,2023,6,7,17,48,14,15
50.41510,0.00070,-0.08418,0.00000,0.03062,0.97502,-0.19020,0.0,2023,6,7,17,48,14,26
50.41520,0.07070,-0.18918,0.00000,0.03160,0.97698,-0.18837,0.0,2023,6,7,17,48,14,38
50.41530,-0.01680,0.02083,0.00000,0.03123,0.97868,-0.19008,0.0,2023,6,7,17,48,14,49
50.41540,-0.03430,-0.17168,0.00000,0.03111,0.97624,-0.18983,0.0,2023,6,7,17,48,14,61
50.41550,-0.17430,0.05582,0.00000,0.03111,0.97698,-0.18959,0.0,2023,6,7,17,48,14,72
50.41560,0.12320,-0.10168,0.00000,0.03428,0.97551,-0.18959,0.0,2023,6,7,17,48,14,84
